"frame_idx ""video"" ""phase"" ""fly"" ""x"" ""y"" ""fly_prev"" ""x_prev"" ""y_prev"" ""dist"" ""mutilple_matches"" ""different_match"""
"27987 ""TC_Grp_3_f_18"" 16 ""0"" 345 86 ""2"" 350 76 11.1803398874989 0 1"
"27988 ""TC_Grp_3_f_18"" 16 ""0"" 357 84 ""2"" 363 76 10 0 1"
"27995 ""TC_Grp_3_f_18"" 16 ""0"" 164 103 ""1"" 159 106 5.8309518948453 0 1"
"28014 ""TC_Grp_3_f_18"" 16 ""0"" 509 114 ""2"" 510 115 1.4142135623731 0 1"
"28015 ""TC_Grp_3_f_18"" 16 ""0"" 313 85 ""1"" 206 89 107.074740251845 0 1"
"28062 ""TC_Grp_3_f_18"" 16 ""0"" 534 142 ""2"" 545 141 11.0453610171873 1 1"
"28063 ""TC_Grp_3_f_18"" 16 ""0"" 558 141 ""2"" 556 142 2.23606797749979 0 1"
"28101 ""TC_Grp_3_f_18"" 16 ""0"" 682 200 ""1"" 693 200 11 0 1"
"28104 ""TC_Grp_3_f_18"" 16 ""0"" 681 38 ""2"" 683 39 2.23606797749979 0 1"
"28107 ""TC_Grp_3_f_18"" 16 ""0"" 697 208 ""1"" 710 212 13.6014705087354 0 1"
"28134 ""TC_Grp_3_f_18"" 16 ""0"" 635 189 ""1"" 650 191 15.1327459504216 0 1"
"28285 ""TC_Grp_3_f_18"" 16 ""0"" 681 116 ""2"" 688 108 10.6301458127346 0 1"
"28367 ""TC_Grp_3_f_18"" 16 ""0"" 399 6 ""2"" 404 4 5.3851648071345 0 1"
"28470 ""TC_Grp_3_f_18"" 16 ""0"" 727 65 ""2"" 708 58 20.2484567313166 0 1"
"28483 ""TC_Grp_3_f_18"" 16 ""0"" 718 121 ""2"" 707 117 11.7046999107196 0 1"
"28509 ""TC_Grp_3_f_18"" 16 ""0"" 731 192 ""1"" 726 191 5.09901951359278 0 1"
"28511 ""TC_Grp_3_f_18"" 16 ""0"" 740 202 ""1"" 736 195 8.06225774829855 0 1"
"28513 ""TC_Grp_3_f_18"" 16 ""0"" 721 201 ""1"" 732 201 11 0 1"
"28514 ""TC_Grp_3_f_18"" 16 ""0"" 713 196 ""1"" 719 201 7.81024967590665 0 1"
"28515 ""TC_Grp_3_f_18"" 16 ""0"" 742 84 ""2"" 728 115 34.0147027033899 0 1"
"28536 ""TC_Grp_3_f_18"" 16 ""0"" 281 124 ""1"" 276 133 10.295630140987 0 1"
"28546 ""TC_Grp_3_f_18"" 16 ""0"" 307 110 ""2"" 306 113 3.16227766016838 0 1"
"28726 ""TC_Grp_3_f_18"" 16 ""0"" 676 219 ""1"" 676 206 13 0 1"
"28733 ""TC_Grp_3_f_18"" 16 ""0"" 676 206 ""1"" 676 193 13 1 1"
"28942 ""TC_Grp_3_f_18"" 17 ""0"" 648 157 ""2"" 655 155 7.28010988928052 0 1"
"28966 ""TC_Grp_3_f_18"" 17 ""0"" 656 134 ""2"" 660 135 4.12310562561766 0 1"
"28998 ""TC_Grp_3_f_18"" 17 ""0"" 490 74 ""2"" 494 68 7.21110255092798 0 1"
"28999 ""TC_Grp_3_f_18"" 17 ""0"" 501 81 ""2"" 505 76 6.40312423743285 0 1"
"29000 ""TC_Grp_3_f_18"" 17 ""0"" 512 89 ""2"" 516 84 6.40312423743285 0 1"
"29001 ""TC_Grp_3_f_18"" 17 ""0"" 521 96 ""2"" 527 92 7.21110255092798 0 1"
"29002 ""TC_Grp_3_f_18"" 17 ""0"" 531 103 ""2"" 536 100 5.8309518948453 0 1"
"29003 ""TC_Grp_3_f_18"" 17 ""0"" 540 108 ""2"" 546 106 6.32455532033676 0 1"
"29004 ""TC_Grp_3_f_18"" 17 ""0"" 550 114 ""2"" 555 112 5.3851648071345 0 1"
