"Min","Fly_1_mean","Fly_2_mean","Fly_1_median","Fly_2_median","Fly_1_min","Fly_2_min","Fly_1_max","Fly_2_max","Fly_1_count","Fly_2_count","Fly_1_sum","Fly_2_sum","Fly_1_sum_cumsum","Fly_2_sum_cumsum"
1,3.17776137931034,3.30958454545455,2.4865,2.7237,0,0,44.083,58.852,58,66,184.31016,218.43258,184.31016,218.43258
2,2.2191235483871,3.92574242424242,2.1064,2.6562,0.38141,0.76283,6.2265,54.028,31,33,68.79283,129.5495,253.10299,347.98208
