"phase","phase_type","NT_CS_1","NT_CS_10","NT_CS_11","NT_CS_12","NT_CS_13","NT_CS_14","NT_CS_15","NT_CS_16","NT_CS_17","NT_CS_18","NT_CS_19","NT_CS_2","NT_CS_20","NT_CS_3","NT_CS_4","NT_CS_5","NT_CS_6","NT_CS_7","NT_CS_8","NT_CS_9","NT_OR_1","NT_OR_10","NT_OR_11","NT_OR_12","NT_OR_13","NT_OR_14","NT_OR_15","NT_OR_16","NT_OR_17","NT_OR_18","NT_OR_19","NT_OR_2","NT_OR_20","NT_OR_3","NT_OR_4","NT_OR_5","NT_OR_6","NT_OR_7","NT_OR_8","NT_OR_9","OT_CS_1","OT_CS_10","OT_CS_11","OT_CS_12","OT_CS_13","OT_CS_14","OT_CS_15","OT_CS_16","OT_CS_17","OT_CS_18","OT_CS_19","OT_CS_2","OT_CS_20","OT_CS_3","OT_CS_4","OT_CS_5","OT_CS_6","OT_CS_7","OT_CS_8","OT_CS_9","OT_OR_1","OT_OR_10","OT_OR_11","OT_OR_12","OT_OR_13","OT_OR_14","OT_OR_15","OT_OR_16","OT_OR_17","OT_OR_18","OT_OR_19","OT_OR_2","OT_OR_20","OT_OR_3","OT_OR_4","OT_OR_5","OT_OR_6","OT_OR_7","OT_OR_8","OT_OR_9","TT_CS_1","TT_CS_10","TT_CS_11","TT_CS_12","TT_CS_13","TT_CS_14","TT_CS_15","TT_CS_16","TT_CS_17","TT_CS_18","TT_CS_19","TT_CS_2","TT_CS_20","TT_CS_3","TT_CS_4","TT_CS_5","TT_CS_6","TT_CS_7","TT_CS_8","TT_CS_9","TT_OR_1","TT_OR_10","TT_OR_11","TT_OR_12","TT_OR_13","TT_OR_14","TT_OR_15","TT_OR_16","TT_OR_17","TT_OR_18","TT_OR_19","TT_OR_2","TT_OR_20","TT_OR_3","TT_OR_4","TT_OR_5","TT_OR_6","TT_OR_7","TT_OR_8","TT_OR_9"
22,"trial",NA,51.77,NA,54.07,55.13,50.97,56.8,55.57,51.5,54.33,55.03,57.7,55.23,56.1,NA,51.17,56.53,57.33,52.43,56.3,58.53,59.27,55.47,56.83,46.37,58.67,58.07,NA,51.5,58.23,53.17,54.3,54.4,NA,54.43,57.63,56.03,54.4,58.83,57.53,57.3,52.83,58.97,50.3,56.4,52.63,56.73,56.17,53.23,57.3,51.13,56.1,55.27,NA,51.77,56.37,55.5,56.4,57.17,50.2,53.7,56.9,55.9,55.33,NA,58.93,58.33,58.5,56.07,56.1,58.07,55.43,54.1,56.9,56.9,57.43,57.53,54.13,NA,57.53,51.9,56.57,55.2,NA,54.9,57.4,53.93,49.37,51.5,55.9,NA,55.57,55.2,57.33,56.07,57.07,57.83,58.93,54.73,NA,57.33,58.27,NA,57.23,57.23,54.1,56,51.17,58.1,58.1,49.57,NA,52.67,52.7,NA,25.9,50,57,NA,NA
24,"trial",49.83,54.6,56.47,NA,54,56.67,54.03,56.1,58.37,50.93,NA,55.43,50.9,57.83,54.77,53.4,52.97,52.83,NA,NA,51.87,51.7,55.47,55.37,55.53,NA,58.8,53.37,58.37,58.17,55.87,53.3,54.9,NA,56.67,53.63,51.67,58.2,54.2,55.93,55.9,49.63,55.17,57,50.63,55.9,52.23,53.17,54.73,54.67,52.4,55.1,54.43,NA,51.57,53.07,55.8,51.37,53.6,57.83,56.6,54.3,57.47,56.77,55.73,55.2,59.47,59.2,53.2,54.07,58.33,57.87,56.93,55.03,55.03,53.5,57.93,57.6,NA,57.03,NA,54.27,55.27,49.53,55.8,58.43,58.2,46.5,53.2,53.2,55.23,52.53,54.67,53.9,54.87,54.33,53.8,52.6,54,NA,NA,44.87,NA,57.3,57.3,58.63,55.63,56.83,56.37,56.37,59.13,56.53,52.6,56.27,54.53,43.73,57.5,59.2,53.5,NA
26,"trial",54.1,54.73,51.93,57.5,53.97,45.5,55.57,54.27,56.57,NA,55.57,53.93,51.97,51.2,53.17,47.4,57.17,59.53,53.47,NA,58.77,57.63,55.1,57.8,55.37,46.2,53.07,56.7,56.57,54.2,54.9,54.23,54.3,NA,58.7,47.43,51.9,57.03,57.57,56.2,57.87,57.27,56.77,54,50.73,54.2,56.13,54.67,56.8,55.33,54.03,55.1,51.57,NA,NA,57.43,55.13,54.63,53,52.67,NA,53.83,56.83,57.77,55.23,55.47,57.6,55.7,59.73,54.57,53.33,55.57,53.9,58.77,58.77,55.4,59.73,58.93,NA,54.83,59.9,56.23,NA,NA,52.77,53.23,56.47,47.93,55.03,55.87,55.4,46.9,58.27,57.03,53.17,NA,55.03,39.77,57.37,53.53,57.47,55.3,NA,48.27,48.27,NA,57.53,56.3,58.7,58.7,56.6,54.6,59.53,53.77,49.43,51.87,NA,56.6,54.87,52.93
28,"trial",54.3,55.77,52.63,49.77,53.57,57.57,NA,54.97,54.3,NA,55.3,49.27,48.9,NA,58.27,56.17,53.43,57.5,NA,52.93,52.17,52.43,52.27,58.8,56.13,54.43,56.37,54.03,54.3,56.7,55.23,55.93,57.6,NA,51.87,58,56.03,56.63,52.4,55.9,54.2,55.73,57.1,55.3,NA,53.47,52.97,50.9,57.93,52.67,55.57,52.47,NA,NA,58.23,56.7,50.27,51.97,54.6,53.03,56.53,59.6,58.1,56.4,54.87,54.63,58.93,56.4,NA,50.5,54.87,56.27,56.37,56.2,56.2,56.77,56.2,55.4,NA,NA,29.63,NA,56.83,53.13,52.57,NA,56.87,NA,49.87,56.13,NA,NA,52.27,50.93,55.6,53.63,53.1,55.57,50.9,35.43,57.47,51.07,NA,58.7,58.7,53.47,57.8,57.53,NA,NA,58.4,58.03,NA,55.8,56.67,55.23,53.97,59.17,NA,57.83
30,"trial",57.57,52.8,53.63,56.1,52.63,59.2,53.27,55.07,58.83,48.7,56.8,54.33,55.47,55.53,58.27,52.2,37.8,58.27,NA,56.2,57.33,57.9,57.67,58.5,53.5,46.93,55.3,58.4,58.83,52.2,NA,57.27,54.87,NA,53.5,54.23,58.13,57.83,57.27,53.4,45.97,54.73,51.43,53.17,51.4,56.83,53.37,55.93,NA,51.97,50.53,56.63,53.53,NA,NA,52.43,55.83,56.1,55.87,42.03,52.8,53.57,56.63,54.27,59.1,56.43,57.63,57.23,58.07,54.47,59.33,56.5,57.3,59.87,59.87,56.93,55.43,57.77,57.53,55.83,52.7,54.53,55.6,54.7,54.77,57.6,52.53,54.8,53.6,54.4,NA,57,55,53.37,57.03,57.3,53.23,NA,52.8,53.3,52.87,48.87,NA,54.77,54.77,50.67,59.57,57.37,59.13,59.13,55.83,56.97,59.03,56.33,54.1,56.03,NA,55.13,53.87,NA
32,"trial",55.33,56.07,55.5,51.33,54.9,54.4,52.33,57.63,54.37,54.6,54.57,58.4,53.93,55.5,54.17,52.43,50.57,56.97,NA,57.53,57.03,55.23,58.33,57.07,54.9,49.17,58.3,59.27,54.37,58.67,56.1,58.37,55.1,NA,56.67,57.83,55.67,55.43,54.87,55.3,51.5,50.3,57.6,53.3,47.7,55.53,56.5,57.7,51.63,54.03,53.33,55.77,57.53,NA,55.37,56.5,52.63,53.13,52.6,54.2,53.97,56.9,54.37,53.4,54.97,54.8,57.33,56.2,55.63,51.33,57.67,54.17,54.9,57.6,57.6,57.53,NA,54.4,NA,56.3,47.33,50.13,NA,54.53,52.8,56.57,54.13,53.93,NA,55.9,55.83,55.17,57.63,47.8,56.67,47.27,55.53,59.07,55.7,50.77,NA,49.3,NA,41.27,41.27,54.97,54.73,55.73,59.73,59.73,56.9,53.67,57.73,55.23,NA,56.2,56.73,58.63,52.77,54.67
34,"trial",54.73,52.2,55.83,46.4,55.03,56.27,NA,54.73,56.63,51.93,53.43,57.33,49.57,52.97,57.5,55.77,51.5,59.27,53.3,57.9,58.83,54.3,58.17,51.53,55.83,58.53,57.8,56,56.63,57.1,55.87,57.07,57.73,NA,55.83,58.23,51.13,56,55.37,55.27,58.4,44.73,55.4,54.57,57.57,56.8,50.03,37.3,49.87,52.37,52.27,55.2,55.2,NA,53.87,NA,47.5,52.53,54.73,56.37,47.27,57.87,57.87,57.07,56.53,57.67,57.13,55.9,56.03,56.07,56.5,56.17,54,57.73,57.73,56.07,58.23,57.2,54.3,NA,54.63,49.1,50.5,52.4,54,58.23,57.47,NA,52.57,54.93,54.17,57.03,48.97,56.33,56.2,54.2,48.73,56.23,51.8,56.17,51.6,NA,NA,58.23,58.23,NA,57.4,56.17,59.33,59.33,58.83,58.13,58.13,53.3,49.13,57.87,58.67,57.8,55.97,48.83
36,"trial",57.1,57.07,57.23,56,51.6,51.77,49.73,56.17,57.7,56.83,55.7,52.57,55.77,48.53,NA,56.6,55.4,57.8,NA,NA,55.97,56.33,51.27,52.7,53.33,NA,56.8,57.7,57.7,58.77,NA,56,57.57,NA,52.4,55.27,53.23,58.1,57.33,51.13,56.57,52.57,51.63,56.17,NA,NA,51.9,NA,48.1,52.43,51.33,54.5,54,NA,57.93,57.2,53.87,55.53,53.5,55.9,53.93,56.73,49.33,54.83,54.53,58,57.03,59.3,59.07,52.13,58.53,50.53,57.77,58,58,57.57,54.57,51.07,NA,NA,49.57,52.4,55.2,56.53,NA,48.3,55.23,54.9,55.27,53.33,50.97,52.2,49.5,56.57,49.83,NA,53.07,56.67,NA,50.53,51.4,56.5,NA,57.33,57.33,NA,55.43,55,NA,NA,53.8,56.97,54.47,54.13,56.7,57.3,56.9,58.93,57.87,54.1
38,"trial",56.63,51.07,57.13,55.53,54.67,55.7,53.93,57.07,57.4,55.43,54.4,NA,51.83,54.73,53.93,54.07,54.9,53.93,58.07,57.13,59.13,55.07,55.8,54.6,54.6,50.37,57.17,54.6,57.4,58.57,55.53,57.6,51.77,NA,53.17,55.83,56.17,50.83,NA,54.07,54.67,56.63,52.33,51.83,57.3,55.9,51.13,NA,54.73,0,53.8,59.37,39.93,NA,55.27,55.87,53.77,55.87,57.3,58.5,53.97,NA,56.1,49.63,57.83,54.43,54.57,NA,55.53,56.73,57.4,54.23,57.37,58.5,58.5,NA,55.9,55.87,58.6,53.93,55.4,52.4,55.67,NA,53.13,57.67,56.6,50.07,56.7,54.6,50.2,56.63,51.5,38.37,58.23,53.83,55.5,52.87,NA,NA,57.67,55.93,NA,57.33,57.33,58,53.97,51.93,57.63,57.63,55.47,57.23,59,53,55.57,56.7,58.43,53.5,NA,58.3
40,"trial",58.67,55.57,54.37,54.97,47.53,56.27,51.77,56.93,55.47,54.37,57.63,57.7,53.97,50.87,NA,NA,49.97,51.83,53.1,53.97,54.63,55.8,52,54.17,52.27,NA,53.83,59.43,55.47,54.63,56.8,58.5,57.9,NA,52.93,58.13,53.73,53.73,55.73,20.1,55.17,52.77,56.07,51.4,58.8,55.6,56,NA,51.8,58.43,51.57,54.63,54.97,NA,52.57,50.23,NA,51.57,54.83,50.1,56.03,55.53,56.23,55.5,56.47,56.03,54.33,55.6,55,52.37,NA,52.77,NA,NA,NA,58.33,53.07,54.37,58.6,56.1,55.03,52.07,57.03,47.9,51.97,57.47,54,47.1,52.97,56.4,52.23,54.57,57,NA,55.97,55.37,53.67,51.33,57.53,43.6,52.27,58.47,NA,54.53,54.53,58.5,56.8,NA,58.1,58.1,NA,56.23,NA,55.43,50.2,53.8,58.7,56.47,58.53,55.6
42,"trial",53,56.97,56.3,55.67,53.23,NA,49.2,55.53,NA,55,55.93,NA,51.67,59.1,56.67,55.53,58.13,55.43,56.6,56.07,54.93,54.43,53.67,57.57,55.7,57,53.07,57.7,NA,55.03,NA,55.83,58.07,NA,56.1,57.4,57.5,56.87,52.93,57.57,56.6,50.87,51.77,56.4,53.13,54.07,54.27,NA,54.43,38.7,52.1,54.5,52.93,NA,55.93,54.07,53.17,54.53,51.83,51.97,50.97,53.5,50.3,56.8,56.33,57.83,57.77,59.53,51.93,54.47,56.67,54.03,57.73,57.23,57.23,57.17,58.47,NA,NA,57.7,54.13,55.97,55.97,NA,56.03,55.63,56.23,51.5,56.17,53,53.97,56.7,53.07,57.43,53.07,56.73,54.63,53,54.3,54.2,54.07,52.03,NA,58.1,58.1,NA,57.57,54.13,58.6,58.6,56.57,57.6,NA,56.6,52.07,55.73,NA,56.7,NA,59.07
44,"trial",52.1,55.13,56.6,NA,54.1,NA,54.27,56.87,56.07,51.1,56.97,48.47,54,56.93,59.5,53.27,55.57,54.53,54.13,51.57,55.4,57.7,53.63,54.6,49.67,NA,55,57.23,56.07,44.2,58,51.67,56.07,NA,56.93,56.5,55.77,54.07,NA,55.67,54.63,51.93,53.1,55.93,48.63,54.8,52.43,NA,NA,48.6,52.53,44.47,NA,NA,54.8,51.1,52.8,56.97,55.1,57.47,53.2,56.43,54.5,54.87,57.23,57.2,56,55.9,58.03,55.23,58.43,56.73,54.97,56.8,56.8,54.73,56.03,57.2,59.4,58.93,NA,54.87,49.87,55.83,54.87,55.07,53.8,51.27,54.17,52.57,53.93,54.63,55.8,NA,53.67,54.17,56.5,51.53,NA,56.5,50.73,54.97,NA,57.67,57.67,NA,58,NA,NA,NA,56.83,54.43,59.07,55.6,55.03,50.17,49.43,58,54.43,53.3
