"","mother_id","unique_m","unique_mm","Speed_m","Speed_mm","Temp_m","Temp_mm","Condition_m","Condition_mm","Sex_m","Sex_mm","mom_c"
"1354","H132","H132_2HHmales","H132_2HCmales",1.088447676,0.342406432,40,40,"HH","HC","M","M","H"
"1355","H134","H134_5HHmales","H134_2HCmales",1.511284198,0.477515279,40,40,"HH","HC","M","M","H"
"1356","H155","H155_7HHmales","H155_2HCmales",1.201712108,0.305601241,40,40,"HH","HC","M","M","H"
"1357","H161","H161_5HHmales","H161_2HCmales",1.298218749,0.129378862,40,40,"HH","HC","M","M","H"
"1358","H166","H166_2HHmales","H166_2HCmales",0.776129373,0.728975435,40,40,"HH","HC","M","M","H"
"1359","H180","H180_2HHmales","H180_2HCmales",1.011002535,0.955472417,40,40,"HH","HC","M","M","H"
"1360","H190",NA,"H190_2HCmales",NA,0.070196937,NA,40,NA,"HC",NA,"M","H"
"1361","H25","H25_1HHmales","H25_2HCmales",1.204424188,0.356823853,40,40,"HH","HC","M","M","H"
"1362","H32","H32_5HHmales","H32_2HCmales",1.129424081,0.292342319,40,40,"HH","HC","M","M","H"
"1363","H42","H42_2HHmales","H42_2HCmales",0.761136706,0.854196554,40,40,"HH","HC","M","M","H"
"1364","H50","H50_5HHmales","H50_2HCmales",1.185143857,0.285161536,40,40,"HH","HC","M","M","H"
"1365","H51","H51_6HHmales","H51_2HCmales",0.528770976,0.518951156,40,40,"HH","HC","M","M","H"
"1366","H55","H55_4HHmales","H55_2HCmales",1.340244553,0.073835122,40,40,"HH","HC","M","M","H"
"1367","H83","H83_2HHmales","H83_2HCmales",0.889534698,0.33404452,40,40,"HH","HC","M","M","H"
"1368","H86","H86_3HHmales","H86_2HCmales",1.156661579,0.744331116,40,40,"HH","HC","M","M","H"
"1369","H87","H87_5HHmales",NA,0.947801157,NA,40,NA,"HH",NA,"M",NA,"H"
"1370","H89","H89_4HHmales","H89_2HCmales",1.502531549,0.839407842,40,40,"HH","HC","M","M","H"
