,Var1,egg_f1_m,egg_f1_mm,adult_f1_m,adult_f1_mm,F1 survival m,F1 survival mm,egg_f2_m,egg_f2_mm,adult_f2_m,adult_f2_mm,F2 survival m,F2 survival mm,climb_m,climb_mm,wsurv_m,wmulti_m,wsurv_mm,wmulti_mm,Cat_m,Cat_mm,mom_c,time_m,time_mm,missing
173,H028,13,13,8,11,0.615384615,0.846153846,203,NA,74,NA,0.36453202,#VALUE!,2.703833333,NA,1,1,1,0,HH,HC,H,0,NA,0
174,H029,15,15,14,13,0.933333333,0.866666667,NA,91,NA,63,#VALUE!,0.692307692,NA,2.76,1,0,1,1,HH,HC,H,NA,0,0
175,H030,1,NA,1,NA,1,#VALUE!,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,NA,NA,HH,NA,H,NA,NA,0
176,H032,9,9,6,9,0.666666667,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
177,H033,8,8,8,8,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
178,H034,6,7,4,6,0.666666667,0.857142857,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
179,H036,7,7,5,7,0.714285714,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
180,H037,5,5,2,0,0.4,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
181,H039,8,7,6,3,0.75,0.428571429,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
182,H041,15,15,10,11,0.666666667,0.733333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
183,H042,12,12,10,11,0.833333333,0.916666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
184,H043,5,6,3,5,0.6,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
185,H045,8,10,6,10,0.75,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
186,H046,11,NA,2,NA,0.181818182,#VALUE!,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,NA,NA,HH,NA,H,NA,NA,0
187,H047,5,5,2,3,0.4,0.6,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
188,H048,NA,5,NA,4,#VALUE!,0.8,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,1,0,NA,HC,H,NA,NA,0
189,H049,15,15,12,11,0.8,0.733333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
190,H050,11,11,5,11,0.454545455,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
191,H051,10,8,10,8,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
192,H052,5,5,5,5,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
193,H054,4,5,4,5,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
194,H055,8,8,8,8,1,1,NA,80,NA,40,#VALUE!,0.5,NA,1.393333333,1,0,0.5,1,HH,HC,H,NA,37,0
195,H057,6,6,6,5,1,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
196,H058,8,7,1,1,0.125,0.142857143,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
197,H059,7,7,3,2,0.428571429,0.285714286,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
198,H060,7,8,6,8,0.857142857,1,98,80,83,73,0.846938776,0.9125,3.248333333,2.646666667,1,1,1,1,HH,HC,H,0,20,0
199,H061,7,7,7,0,1,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
200,H062,9,10,8,10,0.888888889,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
201,H063,5,6,4,6,0.8,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
202,H064,10,NA,2,NA,0.2,#VALUE!,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,NA,NA,HH,NA,H,NA,NA,0
203,H068,4,4,1,2,0.25,0.5,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
204,H069,9,9,2,2,0.222222222,0.222222222,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
205,H070,5,5,3,4,0.6,0.8,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
206,H071,5,5,4,4,0.8,0.8,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
207,H072,6,6,5,4,0.833333333,0.666666667,99,NA,58,NA,0.585858586,#VALUE!,2.686333333,NA,0.5,1,1,0,HH,HC,H,19,NA,0
208,H073,6,6,6,5,1,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
209,H074,5,5,5,5,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
210,H075,5,6,3,6,0.6,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
211,H077,5,7,1,3,0.2,0.428571429,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
212,H078,NA,10,NA,7,#VALUE!,0.7,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,1,0,NA,HC,H,NA,NA,0
213,H079,8,9,8,9,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
214,H080,6,6,5,6,0.833333333,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
215,H081,7,7,7,6,1,0.857142857,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
216,H083,13,12,8,6,0.615384615,0.5,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
217,H084,5,6,5,6,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
218,H086,9,9,9,9,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
219,H087,5,4,5,2,1,0.5,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
220,H088,4,3,4,3,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
221,H089,6,7,5,5,0.833333333,0.714285714,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
222,H090,NA,3,NA,2,#VALUE!,0.666666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,1,0,NA,HC,H,NA,NA,0
223,H091,13,14,13,13,1,0.928571429,89,NA,48,NA,0.539325843,#VALUE!,3.281,NA,0.333333333,1,1,0,HH,HC,H,42,NA,0
224,H092,5,6,4,2,0.8,0.333333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
225,H094,12,12,4,3,0.333333333,0.25,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
226,H095,4,4,4,0,1,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
227,H096,5,4,5,0,1,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
228,H097,10,13,9,11,0.9,0.846153846,173,NA,149,NA,0.861271676,#VALUE!,3.086666667,NA,0.5,1,1,0,HH,HC,H,42,NA,0
229,H099,7,3,5,3,0.714285714,1,NA,91,NA,77,#VALUE!,0.846153846,NA,4.206666667,1,0,1,1,HH,HC,H,NA,28,0
230,H100,12,11,1,0,0.083333333,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
231,H102,12,12,10,11,0.833333333,0.916666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
232,H103,10,10,9,9,0.9,0.9,NA,74,NA,67,#VALUE!,0.905405405,NA,2.806666667,1,0,0.333333333,1,HH,HC,H,NA,28,0
233,H104,5,6,4,6,0.8,1,147,NA,142,NA,0.965986395,#VALUE!,2.866333333,NA,0.5,1,1,0,HH,HC,H,9,NA,0
234,H105,11,12,10,12,0.909090909,1,121,NA,103,NA,0.851239669,#VALUE!,3.233666667,NA,0.333333333,1,1,0,HH,HC,H,100,NA,0
235,H107,3,2,3,2,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
236,H108,9,8,8,6,0.888888889,0.75,121,NA,95,NA,0.785123967,#VALUE!,2.880666667,NA,1,1,1,0,HH,HC,H,9,NA,0
237,H111,2,2,2,2,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
238,H113,10,9,4,8,0.4,0.888888889,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
239,H114,7,5,7,5,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
240,H115,NA,4,NA,4,#VALUE!,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,1,0,NA,HC,H,NA,NA,0
241,H116,5,5,5,4,1,0.8,NA,65,NA,38,#VALUE!,0.584615385,NA,3.006666667,1,0,1,1,HH,HC,H,NA,9,0
242,H117,5,4,4,4,0.8,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
243,H118,2,2,2,1,1,0.5,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
244,H119,8,8,0,0,0,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
245,H121,8,9,8,9,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
246,H122,7,6,7,6,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
247,H123,8,6,8,6,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
248,H124,8,7,7,7,0.875,1,126,NA,121,NA,0.96031746,#VALUE!,3.167666667,NA,1,1,1,0,HH,HC,H,9,NA,0
249,H125,13,13,11,9,0.846153846,0.692307692,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
250,H126,6,5,4,5,0.666666667,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
251,H127,5,4,5,4,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
252,H129,12,12,12,12,1,1,0,NA,0,NA,#DIV/0!,#VALUE!,2.84,NA,1,1,1,0,HH,HC,H,106,NA,0
253,H131,15,15,14,13,0.933333333,0.866666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
254,H132,15,15,15,14,1,0.933333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
255,H134,10,9,10,9,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
256,H135,12,12,8,12,0.666666667,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
257,H136,8,8,6,8,0.75,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
258,H137,7,6,5,5,0.714285714,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
259,H138,8,9,0,0,0,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
260,H139,6,NA,5,NA,0.833333333,#VALUE!,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,NA,NA,HH,NA,H,NA,NA,0
261,H143,5,4,4,4,0.8,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
262,H144,6,6,6,5,1,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
263,H145,6,7,5,7,0.833333333,1,NA,80,NA,71,#VALUE!,0.8875,NA,2.9,1,0,0.5,1,HH,HC,H,NA,28,0
264,H147,9,9,5,4,0.555555556,0.444444444,0,NA,0,NA,#DIV/0!,#VALUE!,3.580666667,NA,0.5,1,1,0,HH,HC,H,30,NA,0
265,H149,10,6,10,6,1,1,126,93,96,47,0.761904762,0.505376344,2.733333333,2.86,0.333333333,1,1,1,HH,HC,H,0,9,0
266,H151,6,6,5,4,0.833333333,0.666666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
267,H152,6,6,5,6,0.833333333,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
268,H153,9,10,8,9,0.888888889,0.9,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
269,H154,6,5,5,5,0.833333333,1,205,NA,180,NA,0.87804878,#VALUE!,3,NA,0.333333333,1,1,0,HH,HC,H,60,NA,0
270,H155,9,8,8,6,0.888888889,0.75,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
271,H157,4,3,1,1,0.25,0.333333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
272,H158,3,4,3,4,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
273,H159,3,3,3,3,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
274,H160,9,8,5,6,0.555555556,0.75,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
275,H161,15,15,13,14,0.866666667,0.933333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
276,H164,9,9,5,6,0.555555556,0.666666667,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
277,H165,10,11,8,9,0.8,0.818181818,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
278,H166,7,7,7,7,1,1,145,110,116,95,0.8,0.863636364,2.346333333,3.273333333,1,1,1,1,HH,HC,H,32,23,0
279,H167,7,7,6,6,0.857142857,0.857142857,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
280,H170,6,6,6,5,1,0.833333333,86,NA,0,NA,0,#VALUE!,2.464333333,NA,0.333333333,1,1,0,HH,HC,H,0,NA,0
281,H171,5,5,4,5,0.8,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
282,H174,11,10,4,10,0.363636364,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
283,H175,3,4,3,2,1,0.5,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
284,H176,7,6,7,5,1,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
285,H177,7,7,5,4,0.714285714,0.571428571,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
286,H178,7,8,7,8,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
287,H179,10,10,9,9,0.9,0.9,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
288,H180,7,6,7,5,1,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
289,H181,5,6,4,5,0.8,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
290,H182,9,9,9,9,1,1,NA,0,NA,0,#VALUE!,#DIV/0!,NA,1.286666667,1,0,0.5,1,HH,HC,H,NA,18,0
291,H183,5,6,5,0,1,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
292,H184,12,11,10,10,0.833333333,0.909090909,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
293,H185,6,5,5,4,0.833333333,0.8,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
294,H186,5,5,5,5,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
295,H188,10,10,6,5,0.6,0.5,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
296,H189,4,3,3,3,0.75,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
297,H190,15,15,13,10,0.866666667,0.666666667,0,NA,0,NA,#DIV/0!,#VALUE!,3.307333333,NA,1,1,1,0,HH,HC,H,63,NA,0
298,H191,8,8,2,6,0.25,0.75,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
299,H192,7,7,7,7,1,1,126,NA,46,NA,0.365079365,#VALUE!,2.555666667,NA,1,1,1,0,HH,HC,H,23,NA,0
300,H194,12,13,11,12,0.916666667,0.923076923,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
301,H195,3,4,2,4,0.666666667,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
302,H196,6,NA,6,NA,1,#VALUE!,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,NA,NA,HH,NA,H,NA,NA,0
303,H197,12,12,8,9,0.666666667,0.75,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
304,H200,9,9,9,9,1,1,NA,82,NA,39,#VALUE!,0.475609756,NA,2.933333333,1,0,0.5,1,HH,HC,H,NA,18,0
305,H204,9,9,7,9,0.777777778,1,135,NA,68,NA,0.503703704,#VALUE!,3.627333333,NA,1,1,1,0,HH,HC,H,34,NA,0
306,H206,11,11,11,10,1,0.909090909,NA,0,NA,0,#VALUE!,#DIV/0!,NA,2.08,1,0,0.5,1,HH,HC,H,NA,27,0
307,H207,8,NA,6,NA,0.75,#VALUE!,151,NA,128,NA,0.847682119,#VALUE!,3.901666667,NA,1,1,NA,NA,HH,NA,H,89,NA,0
308,H208,5,5,5,4,1,0.8,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
309,H209,8,10,0,0,0,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,HH,HC,H,NA,NA,0
311,C003,NA,9,NA,6,#VALUE!,0.666666667,NA,122,NA,112,#VALUE!,0.918032787,NA,2,NA,NA,0.5,1,NA,CH,C,NA,31,0
316,C009,NA,6,NA,5,#VALUE!,0.833333333,NA,114,NA,61,#VALUE!,0.535087719,NA,2.712333333,NA,NA,0.5,1,NA,CH,C,NA,85,0
327,C021,NA,10,NA,2,#VALUE!,0.2,NA,140,NA,118,#VALUE!,0.842857143,NA,2.424666667,NA,NA,0.5,1,NA,CH,C,NA,31,0
329,C026,NA,5,NA,5,#VALUE!,1,NA,192,NA,166,#VALUE!,0.864583333,NA,2.339666667,NA,NA,0.5,1,NA,CH,C,NA,58,0
331,C032,NA,8,NA,6,#VALUE!,0.75,NA,0,NA,0,#VALUE!,#DIV/0!,NA,0.921333333,NA,NA,0.5,1,NA,CH,C,NA,9,0
333,C034,NA,4,NA,4,#VALUE!,1,NA,151,NA,132,#VALUE!,0.874172185,NA,3.020333333,NA,NA,0.333333333,1,NA,CH,C,NA,20,0
341,C046,NA,10,NA,8,#VALUE!,0.8,NA,109,NA,53,#VALUE!,0.486238532,NA,1.081,NA,NA,0.5,1,NA,CH,C,NA,30,0
342,C047,NA,6,NA,6,#VALUE!,1,NA,81,NA,57,#VALUE!,0.703703704,NA,2.834333333,NA,NA,0.5,1,NA,CH,C,NA,9,0
352,C060,15,15,14,14,0.933333333,0.933333333,72,177,12,120,0.166666667,0.677966102,2.586666667,2.154666667,0.333333333,1,0.333333333,1,CC,CH,C,37,20,0
362,C071,NA,13,NA,13,#VALUE!,1,NA,136,NA,116,#VALUE!,0.852941176,NA,3.274,NA,NA,0.333333333,1,NA,CH,C,NA,88,0
367,C077,11,NA,11,NA,1,#VALUE!,82,NA,48,NA,0.585365854,#VALUE!,2.36,NA,0.5,1,NA,NA,CC,NA,C,9,NA,0
371,C082,NA,7,NA,6,#VALUE!,0.857142857,NA,161,NA,120,#VALUE!,0.745341615,NA,3.330666667,NA,NA,0.333333333,1,NA,CH,C,NA,12,0
378,C093,NA,11,NA,10,#VALUE!,0.909090909,NA,88,NA,59,#VALUE!,0.670454545,NA,3.274333333,NA,NA,0.333333333,1,NA,CH,C,NA,78,0
380,C096,7,NA,7,NA,1,#VALUE!,69,NA,24,NA,0.347826087,#VALUE!,2.893333333,NA,0.5,1,NA,NA,CC,NA,C,60,NA,0
393,C114,9,9,7,6,0.777777778,0.666666667,70,89,66,42,0.942857143,0.471910112,3.333333333,2.6575,0.333333333,1,0.5,1,CC,CH,C,10,42,0
406,C132,NA,13,NA,10,#VALUE!,0.769230769,NA,108,NA,78,#VALUE!,0.722222222,NA,2.346666667,NA,NA,0.5,1,NA,CH,C,NA,0,0
410,C139,NA,8,NA,8,#VALUE!,1,NA,125,NA,97,#VALUE!,0.776,NA,2.588333333,NA,NA,0.333333333,1,NA,CH,C,NA,11,0
412,C142,NA,6,NA,5,#VALUE!,0.833333333,NA,121,NA,102,#VALUE!,0.842975207,NA,3.392666667,NA,NA,0.5,1,NA,CH,C,NA,72,0
418,C149,10,NA,8,NA,0.8,#VALUE!,66,NA,56,NA,0.848484848,#VALUE!,2.98,NA,0.5,1,NA,NA,CC,NA,C,27,NA,0
424,C157,6,NA,6,NA,1,#VALUE!,94,NA,79,NA,0.840425532,#VALUE!,3.266666667,NA,0.333333333,1,NA,NA,CC,NA,C,0,NA,0
428,C164,12,NA,9,NA,0.75,#VALUE!,47,NA,39,NA,0.829787234,#VALUE!,3.293333333,NA,0.333333333,1,NA,NA,CC,NA,C,20,NA,0
431,C168,NA,7,NA,6,#VALUE!,0.857142857,NA,179,NA,161,#VALUE!,0.899441341,NA,3.666666667,NA,NA,0.5,1,NA,CH,C,NA,0,0
432,C169,NA,6,NA,6,#VALUE!,1,NA,101,NA,0,#VALUE!,0,NA,3.233333333,NA,NA,0.5,1,NA,CH,C,NA,32,0
442,C181,NA,14,NA,14,#VALUE!,1,NA,107,NA,87,#VALUE!,0.813084112,NA,3.333333333,NA,NA,0.5,1,NA,CH,C,NA,22,0
444,C183,NA,11,NA,9,#VALUE!,0.818181818,NA,140,NA,106,#VALUE!,0.757142857,NA,4.326666667,NA,NA,0.5,1,NA,CH,C,NA,11,0
446,C185,15,15,10,9,0.666666667,0.6,104,130,12,82,0.115384615,0.630769231,2.646666667,2.693333333,0.5,1,0.333333333,1,CC,CH,C,9,48,0
448,C189,NA,7,NA,6,#VALUE!,0.857142857,NA,112,NA,100,#VALUE!,0.892857143,NA,2.553333333,NA,NA,0.5,1,NA,CH,C,NA,40,0
458,C202,NA,9,NA,9,#VALUE!,1,NA,201,NA,150,#VALUE!,0.746268657,NA,3.206666667,NA,NA,0.333333333,1,NA,CH,C,NA,22,0
460,H003,10,NA,10,NA,1,#VALUE!,140,NA,125,NA,0.892857143,#VALUE!,2.428333333,NA,0.25,1,NA,NA,HH,NA,H,15,NA,0
467,H011,8,NA,6,NA,0.75,#VALUE!,130,NA,96,NA,0.738461538,#VALUE!,2.463833333,NA,0.5,1,NA,NA,HH,NA,H,28,NA,0
468,H012,NA,10,NA,10,#VALUE!,1,NA,85,NA,48,#VALUE!,0.564705882,NA,4.313333333,NA,NA,0.5,1,NA,HC,H,NA,26,0
469,H013,10,NA,10,NA,1,#VALUE!,105,NA,70,NA,0.666666667,#VALUE!,1.839166667,NA,0.5,1,NA,NA,HH,NA,H,25,NA,0
474,H018,15,NA,14,NA,0.933333333,#VALUE!,223,NA,174,NA,0.780269058,#VALUE!,3.012666667,NA,0.5,1,NA,NA,HH,NA,H,7,NA,0
503,H055,NA,8,NA,8,#VALUE!,1,NA,107,NA,83,#VALUE!,0.775700935,NA,2.866666667,NA,NA,0.5,1,NA,HC,H,NA,0,0
516,H072,6,NA,5,NA,0.833333333,#VALUE!,159,NA,89,NA,0.559748428,#VALUE!,2.719,NA,0.5,1,NA,NA,HH,NA,H,48,NA,0
532,H091,13,NA,13,NA,1,#VALUE!,163,NA,143,NA,0.877300613,#VALUE!,3.062333333,NA,0.333333333,1,NA,NA,HH,NA,H,72,NA,0
537,H097,10,NA,9,NA,0.9,#VALUE!,200,NA,160,NA,0.8,#VALUE!,2.823666667,NA,0.5,1,NA,NA,HH,NA,H,30,NA,0
541,H103,NA,10,NA,9,#VALUE!,0.9,NA,102,NA,66,#VALUE!,0.647058824,NA,3.193333333,NA,NA,0.333333333,1,NA,HC,H,NA,19,0
