,Var1,egg_f1_m,egg_f1_mm,adult_f1_m,adult_f1_mm,F1 survival m,F1 survival mm,egg_f2_m,egg_f2_mm,adult_f2_m,adult_f2_mm,F2 survival m,F2 survival mm,climb_m,climb_mm,wsurv_m,wmulti_m,wsurv_mm,wmulti_mm,Cat_m,Cat_mm,mom_c,time_m,time_mm,missing
40,C057,8,8,7,5,0.875,0.625,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
41,C058,2,2,0,2,0,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
42,C059,5,5,4,5,0.8,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
43,C060,15,15,14,14,0.933333333,0.933333333,61,134,10,74,0.163934426,0.552238806,2.52,3.161333333,0.333333333,1,0.333333333,1,CC,CH,C,28,30,0
44,C061,6,6,6,6,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
45,C062,7,8,6,7,0.857142857,0.875,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
46,C063,8,9,7,8,0.875,0.888888889,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
47,C064,11,11,11,6,1,0.545454545,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
48,C066,5,6,5,6,1,1,NA,169,NA,164,#VALUE!,0.970414201,NA,2.989666667,1,0,1,1,CC,CH,C,NA,9,0
49,C067,13,13,12,13,0.923076923,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
50,C068,6,7,6,6,1,0.857142857,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
51,C069,6,5,5,5,0.833333333,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
52,C070,8,9,3,3,0.375,0.333333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
53,C071,12,13,11,13,0.916666667,1,NA,0,NA,0,#VALUE!,#DIV/0!,NA,3.263666667,1,0,0.333333333,1,CC,CH,C,NA,20,0
54,C072,4,5,3,0,0.75,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
55,C074,2,1,2,1,1,1,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
