"phase","phase_type","OL_CS_1"
2,"trial",0.37
4,"trial",0
6,"trial",6.1
8,"trial",NA
10,"trial",0
12,"trial",0.07
14,"trial",0
16,"trial",NA
18,"trial",0
20,"trial",NA
22,"trial",0
24,"trial",0
26,"trial",NA
28,"trial",0
30,"trial",0
32,"trial",NA
34,"trial",0
36,"trial",0
38,"trial",NA
40,"trial",0
42,"trial",0
44,"trial",0
46,"trial",0
48,"trial",0
50,"trial",0
52,"trial",0
54,"trial",0
56,"trial",NA
58,"trial",NA
60,"trial",NA
