"video","phase","phase_type","pole_location","safe_location","start_position","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe","dead_fly"
"FS_9",22,"trial","L","long",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",24,"trial","L","long",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",26,"trial","L","long",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",28,"trial","L","short",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",30,"trial","L","long",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",32,"trial","L","short",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",34,"trial","L","long",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",36,"trial","L","long",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",38,"trial","L","short",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",40,"trial","L","long",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",42,"trial","L","short",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",44,"trial","L","long",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",46,"trial","L","short",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",48,"trial","L","short",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",50,"trial","L","short",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",52,"trial","L","long",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",54,"trial","L","short",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",56,"trial","L","short",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",58,"trial","L","long",NA,NA,NA,NA,NA,NA,NA,NA,1
"FS_9",60,"trial","L","long",NA,NA,NA,NA,NA,NA,NA,NA,1
"OL_CS_1",2,"trial","M","middle","pole",0.87,5.1,55.37,0.37,4.27,1,0,0
"OL_CS_1",4,"trial","M","middle","pole",3.9,56.1,56.1,0,3.9,1,1,0
"OL_CS_1",6,"trial","M","middle","pole",1.33,6.47,52.57,6.1,1.33,1,1,0
