"phase","phase_type","OL_CS_1"
2,"trial",5.1
4,"trial",56.1
6,"trial",6.47
8,"trial",NA
10,"trial",58.77
12,"trial",45.5
14,"trial",50.5
16,"trial",NA
18,"trial",58.77
20,"trial",NA
22,"trial",50.33
24,"trial",57.47
26,"trial",NA
28,"trial",54.8
30,"trial",58.7
32,"trial",NA
34,"trial",55.37
36,"trial",51.2
38,"trial",NA
40,"trial",52.3
42,"trial",55.37
44,"trial",53.07
46,"trial",52.9
48,"trial",58.3
50,"trial",55.83
52,"trial",56.73
54,"trial",55
56,"trial",NA
58,"trial",NA
60,"trial",NA
