"phase","phase_type","OL_CS_1"
2,"trial",0
4,"trial",0
6,"trial",0
8,"trial",0
10,"trial",0
12,"trial",0
14,"trial",0
16,"trial",0
18,"trial",0
20,"trial",0
22,"trial",0
24,"trial",0
26,"trial",0
28,"trial",0
30,"trial",0
32,"trial",0
34,"trial",0
36,"trial",0
38,"trial",0
40,"trial",0
42,"trial",0
44,"trial",0
46,"trial",0
48,"trial",0
50,"trial",0
52,"trial",0
54,"trial",0
56,"trial",0
58,"trial",0
60,"trial",0
