"phase","phase_type","OL_CS_1"
2,"trial",0.87
4,"trial",3.9
6,"trial",1.33
8,"trial",0
10,"trial",1.23
12,"trial",4.27
14,"trial",2.73
16,"trial",0
18,"trial",1.23
20,"trial",0
22,"trial",1.97
24,"trial",2.53
26,"trial",0
28,"trial",2.07
30,"trial",1.3
32,"trial",0
34,"trial",4.63
36,"trial",2.33
38,"trial",0
40,"trial",7.7
42,"trial",4.63
44,"trial",5.27
46,"trial",4.1
48,"trial",1.7
50,"trial",4.17
52,"trial",3.27
54,"trial",5
56,"trial",0
58,"trial",0
60,"trial",0
