"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,156,478
2,10,95
3,0,377
4,0,88
5,1,104
6,0,613
7,0,424
8,0,222
9,0,21
10,2,338
11,0,5
12,32,229
13,326,220
14,314,649
15,452,1030
16,560,1261
17,850,1071
18,856,1016
19,1072,784
20,385,354
21,9,6
22,0,0
23,1,0
