"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.18129935464557,0.180741494583325,0.191263202780359
2,0.211377585746273,0.19635702829718,0.236607711417032
3,0.978475409940738,1.15646387634874,0.182843514783667
4,1.44212538939096,1.16257915655536,1.57929165894343
5,1.63778907057701,1.13655005994522,0.227597966652487
6,1.62209539905969,1.09967872335163,0.182952829405803
7,1.6053922746105,1.41904313443907,0.196099151436655
8,1.3342738713157,1.44870017574683,0.205900541731373
9,1.29482124671983,1.50430188853678,1.83265636434205
10,1.03983536188281,1.29507121402333,0.260606278981406
11,1.14208609817973,1.43150465335242,0.224495753459222
12,1.48948489114643,0.863298635826466,0.223482575549454
13,0.180741494583325,0.294226274526142,0.187890292533428
14,0.193791571470462,0.190920722308537,0.180741494583325
15,0.193019859529403,0.185225259028062,0.18196431556023
16,0.18018018018018,0.18018018018018,0.181188055928634
17,0.18196431556023,0.18018018018018,0.184146905485681
18,0.18018018018018,0.180292722497751,0.180741494583325
19,0.180742052417759,0.180292722497751,0.180741494583325
20,0.188469953458746,0.18018018018018,0.18018018018018
21,1.92486713710198,0.18591104852678,2.28365718956181
22,2.90360969566321,0.758692746932411,2.49169527272557
23,2.9516125853799,0.758692746932411,2.51498944651167
