"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,255.2964398772,578.570791088059
2,14.6053054594989,146.708312668876
3,0,733.70953179334
4,0,155.544480072651
5,1.76755090991649,183.446715525899
6,0,1148.12636403127
7,0,761.225060207148
8,0,370.165250008561
9,0,35.9168006217466
10,4.20176848649964,576.403779407761
11,0,8.58494281270911
12,56.5616291173276,390.727255462324
13,618.176327770676,370.143106348493
14,468.833084233239,914.857782202659
15,818.899602131142,1204.89053508659
16,720.201044802209,1436.33413431454
17,1038.22830485116,1098.41446495722
18,969.137762183618,1041.49142547766
19,1224.35916880711,820.034521269413
20,416.175806115095,554.848890848975
21,14.0573382684685,10.6053054594989
22,0,0
23,1.76755090991649,0
