"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,20.8539774045259,20.2701231723409
2,37.098600147684,105.8482098437
3,1225.61926134427,24.051967238552
4,1235.07422261569,1270.72274842966
5,1268.89613729146,49.9079061300804
6,1261.50682853516,24.2182772722263
7,1673.4128247697,42.6356003830341
8,1731.16723214261,59.1306680853089
9,1787.25584231803,2080.04689208246
10,1714.91518958353,138.807503038595
11,1320.88886264868,69.9176754286825
12,336.356063780031,61.0455192830853
13,188.475793299475,30.1467349966765
14,34.6378402884005,20.8539774045259
15,27.3580692477763,22.7143634523583
16,20,21.5333708006192
17,20,26.0349311577983
18,20.1712206131186,20.8539774045259
19,20.1712206131186,20.8539774045259
20,20,20
21,25.5619363948873,874.645780794635
22,160.823379212969,1219.28206334824
23,160.823379212969,1242.66426804898
