"video","phase","encounters_num","encounters_mean_length","encounters_median_length","encounters_min_length","encounters_max_length","encounters_var_length","encounters_sd_length","encounters_ci_mean_length","encounters_ci_lower_length","encounters_ci_upper_length","encounters_ci_stderror_length","dist_mean","dist_median","dist_min","dist_max","dist_var","dist_sd","dist_ci_mean","dist_ci_lower","dist_ci_upper","dist_ci_stderror","shortest_dist_mean","shortest_dist_median","shortest_dist_min","shortest_dist_max","shortest_dist_var","shortest_dist_sd","shortest_dist_ci_mean","shortest_dist_ci_lower","shortest_dist_ci_upper","shortest_dist_ci_stderror","longest_dist_mean","longest_dist_median","longest_dist_min","longest_dist_max","longest_dist_var","longest_dist_sd","longest_dist_ci_mean","longest_dist_ci_lower","longest_dist_ci_upper","longest_dist_ci_stderror","frames_moving_mean","frames_moving_median","frames_moving_min","frames_moving_max","frames_moving_var","frames_moving_sd","frames_moving_ci_mean","frames_moving_ci_lower","frames_moving_ci_upper","frames_moving_ci_stderror"
"TC_Grp_3_f_19",1,11,25.0909090909091,17,14,77,354.890909090909,18.838548486837,25.0909090909091,12.4350000111091,37.7468181707091,5.68003608415962,278.505603858105,270.120323661735,20,715.279665585427,34834.1617314476,186.639121653118,278.505603858105,273.324849894688,283.686357821521,2.64264885473194,20.0623058987491,20.0623058987491,20,20.1246117974981,0.00776405003785477,0.0881138470267572,20.0623058987491,19.2706343929722,20.8539774045259,0.0623058987490541,712.821828394968,712.821828394968,710.363991204509,715.279665585427,12.0819273096049,3.47590668885182,712.821828394968,681.592045844814,744.051610945122,2.4578371904588,101.333333333333,114,34,156,3841.33333333333,61.9784908926745,101.333333333333,-52.6297732105337,255.2964398772,35.7832984008524
"TC_Grp_3_f_19",2,4,38,32,11,77,776.666666666667,27.8687399547713,38,-6.34538425098719,82.3453842509872,13.9343699773857,118.234933496693,94.0850678907126,20.591260281974,216.953912156476,4874.09858591563,69.8147447600837,118.234933496693,116.368802073976,120.10106491941,0.951911081160062,21.795630140987,21.795630140987,20.591260281974,23,2.90101351459798,1.70323618872956,21.795630140987,6.49266013428998,37.098600147684,1.204369859013,212.790186303363,212.790186303363,208.626460450251,216.953912156476,34.6732259597595,5.88839757147558,212.790186303363,159.885033148409,265.695339458318,4.16372585311278,6,4,4,10,12,3.46410161513775,6,-2.60530545949892,14.6053054594989,2
"TC_Grp_3_f_19",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.49655156437,196.420467365293,42.0119030752,216.953912156476,5874.72645931392,76.6467641803222,152.49655156437,150.448373234368,154.544729894372,1.0447730901877,128.36749027471,128.36749027471,42.0119030752,214.72307747422,14914.5748811444,122.12524260424,128.36749027471,-968.884280794852,1225.61926134427,86.3555871995101,207.49715603764,207.49715603764,198.040399918804,216.953912156476,178.86047258228,13.3738727593125,207.49715603764,87.3376766516388,327.656635423642,9.45675611883588,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.737424467705,197.101496696499,42,216.603324074216,6080.60845820647,77.9782563167866,151.737424467705,149.653665596637,153.821183338773,1.06292267769939,129.046286377645,129.046286377645,42,216.092572755289,15154.1119442778,123.102038749477,129.046286377645,-976.981649860402,1235.07422261569,87.0462863776446,207.32186199651,207.32186199651,198.040399918804,216.603324074216,172.291076599788,13.1259695489433,207.32186199651,89.3897045861371,325.254019406884,9.28146207770597,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.642666928819,197.101496696499,36.2215405525497,216.603324074216,6114.67533048703,78.1963894977705,151.642666928819,149.552496147757,153.732837709881,1.06619325080161,126.157056653919,126.157056653919,36.2215405525497,216.092572755289,16176.7941128395,127.188026609581,126.157056653919,-1016.58202398362,1268.89613729146,89.9355161013698,207.32186199651,207.32186199651,198.040399918804,216.603324074216,172.291076599788,13.1259695489433,207.32186199651,89.3897045861371,325.254019406884,9.28146207770597,0.333333333333333,0,0,1,0.333333333333333,0.577350269189626,0.333333333333333,-1.10088424324982,1.76755090991649,0.333333333333333
"TC_Grp_3_f_19",6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.575247711894,216.092572755289,32.3882694814033,284.397608991356,10269.1765337043,101.336945551483,175.575247711894,172.86729078603,178.283204637757,1.38132528993551,122.064338292031,122.064338292031,32.3882694814033,211.74040710266,16083.594634657,126.821112732293,122.064338292031,-1017.3781519511,1261.50682853516,89.6760688106281,271.591617279078,271.591617279078,258.7856255668,284.397608991356,327.986847469857,18.1104071591408,271.591617279078,108.876064733119,434.307169825036,12.8059917122778,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.668061153979,253.50345165303,38.2099463490856,285.660637820474,11755.6960395069,108.42368763101,191.668061153979,188.656004193249,194.680118114709,1.53641841112292,157.513787922737,157.513787922737,38.2099463490856,276.817629496389,28466.8132284619,168.721110796669,157.513787922737,-1358.38524892423,1673.4128247697,119.303841573652,272.770689850142,272.770689850142,259.880741879809,285.660637820474,332.301517355751,18.2291392379276,272.770689850142,108.988371900459,436.553007799824,12.8899479703324,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.821549811802,266.60270066149,37.2155881318568,294.496179941269,13070.8346514954,114.327751012147,199.821549811802,196.768150897375,202.874948726229,1.55753518727328,160.805719507898,160.805719507898,37.2155881318568,284.39585088394,30549.0411470943,174.78283996747,160.805719507898,-1409.55579312681,1731.16723214261,123.590131376041,281.249022803208,281.249022803208,268.001865665148,294.496179941269,350.974344480923,18.7343092875324,281.249022803208,112.927932034736,449.57011357168,13.2471571380603,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.741196377532,264.401210284673,39.4588393138977,294.496179941269,12841.2696442631,113.319325996333,199.741196377532,196.713042607987,202.769350147078,1.54465728156028,166.977509627583,166.977509627583,39.4588393138977,294.496179941269,32522.0225571408,180.338633013397,166.977509627583,-1453.30082306287,1787.25584231803,127.518670313685,280.251849316,280.251849316,266.007518690732,294.496179941269,405.801909923918,20.144525557181,280.251849316,99.2604680615767,461.243230570424,14.2443306252684,0,0,0,0,0,0,0,0,0,0
"TC_Grp_3_f_19",10,1,62,62,62,62,NA,NA,62,NA,NA,NA,187.969076058321,223.450218169506,20.0997512422418,316.564369441667,8793.74753101116,93.7749835031239,187.969076058321,185.451701195106,190.486450921536,1.28410697382835,143.75290475659,143.75290475659,20.0997512422418,267.406058270937,30580.2047480858,174.871966730193,143.75290475659,-1427.40938007035,1714.91518958353,123.653153514348,309.929802572219,309.929802572219,303.295235702772,316.564369441667,88.0349550903369,9.38269444724366,309.929802572219,225.62963759318,394.229967551259,6.63456686944735,1.33333333333333,2,0,2,1.33333333333333,1.15470053837925,1.33333333333333,-1.53510181983297,4.20176848649964,0.666666666666667
