"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,35.7832984008524,39.5656978258244
2,2,21.7791949652262
3,0,115.442626442749
4,0,29.3333333333333
5,0.333333333333333,34.5012077083301
6,0,183.559557395171
7,0,123.619487855992
8,0,59.7689997685534
9,0,6.33333333333333
10,0.666666666666667,97.9404581025295
11,0,1.45296631451356
12,10.6666666666667,70.0483959686286
13,98.4298960907937,63.1726030631775
14,66.1219412231002,115.244667266357
15,123.079017076204,73.3401511982201
16,69.3837957387106,69.027369772995
17,61.4880295486673,11.7945373419694
18,42.0990894596704,9.33333333333333
19,64.3074213792191,14.4952099367726
20,12.9786148892879,65.041012702243
21,2.02758751009941,2
22,0,0
23,0.333333333333333,0
