"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.0623058987490541,0.0124302776281642
2,1.204369859013,6.26345596729059
3,86.3555871995101,0.295630140987001
4,87.0462863776446,86.2115318485513
5,89.9355161013698,1.93956671904484
6,89.6760688106281,0.307764064044152
7,119.303841573652,1.64239401197057
8,123.590131376041,2.85496013218244
9,127.518670313685,147.693357269597
10,123.653153514348,8.66815470259447
11,91.4507416064495,3.54147030754173
12,18.9301148688799,2.85206748588926
13,12.2630384180306,0.731210673712397
14,1.06797181058933,0.0623058987490541
15,0.5350193576141,0.198039027185569
16,0,0.111874208078342
17,0,0.440306508910551
18,0.0124921972503937,0.0623058987490541
19,0.0124921972503937,0.0623058987490541
20,0,0
21,0.387669655156026,48.8863390485772
22,6.02921847193016,74.1924050217619
23,6.02921847193016,75.8291291138325
