"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,25.0909090909091,15.2222222222222
2,38,28
3,NA,17.1111111111111
4,NA,NA
5,NA,18.5
6,NA,17
7,NA,34
8,NA,12.8333333333333
9,NA,NA
10,62,38.5
11,NA,106.25
12,NA,105.666666666667
13,11,15.2
14,48,32.1
15,39.8,18.125
16,33.7142857142857,12.6666666666667
17,18.55,16.15
18,20,16.8
19,19,16.3333333333333
20,25.6,26.6666666666667
21,93,NA
22,NA,NA
23,NA,NA
