"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.012328157445442,0.00695259199422466,0.0123284267169039
2,0.0066933629222815,0.00224638292277731,0.00542779894161959
3,0.00556659718795415,0.000946167744377462,0.00937672696066961
4,0.00436563774861083,0.000166397579770758,0.00376052816807389
5,0.00204745000834737,0.000694755683648359,0.00407663266640479
6,0.000971085300379959,0.00118113280574748,0.00972344884503491
7,0.000444566834170736,0.000781629061888136,0.00825570988543134
8,0.00126124517419797,0.000417165569032481,0.00709695741170357
9,0.000915342659462676,0.000553193481179422,0.00216531125311212
10,0.00352368888466901,0.00192065166290937,0.00745701378187588
11,0.00168673867102248,0.000855195272383435,0.00238917942803345
12,0.00097200781111381,0.0027262649442308,0.00579301979236284
13,0.00748184002138078,0.00929951598738196,0.0060097873757192
14,0.00691284525910825,0.00820205132036289,0.0118320766524854
15,0.0112630193778707,0.0102558940315387,0.0134877393647622
16,0.0152236582503218,0.0126832428900498,0.0161065058699901
17,0.0146573462971247,0.0155976720081324,0.0172777009649064
18,0.0168155379354437,0.0173495332038147,0.0188662516811151
19,0.0172237879075117,0.0151627926973408,0.0160049877113765
20,0.0112324246549441,0.0107171069690702,0.00996316814050009
21,0.00341442629671923,0.00175889846036463,0.00143336292862914
22,0.000430701372911053,0.000440176671218633,0.000398865381017902
23,0.000550948605789689,0.000711529951036053,0.000376112652762072
