"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,3.47590668885182,21.0446656445804
2,5.88839757147558,250.989635043141
3,13.3738727593125,55.0462780999787
4,13.1259695489433,167.08724225644
5,13.1259695489433,83.868284107935
6,18.1104071591408,21.3193039722149
7,18.2291392379276,85.9503864703502
8,18.7343092875324,46.4004660895836
9,20.144525557181,163.150797728814
10,9.38269444724366,44.698279003392
11,44.3778949900609,8.53387004198442
12,48.1504610470928,14.7055118734865
13,6.92177016914047,87.3383838589123
14,11.3244637261819,37.3971298513639
15,13.2965349572566,31.904353682895
16,3.45677420886199,12.7469869565169
17,17.7299683142662,2.34379879364803
18,1.97931109594068,45.5820831871462
19,20.5156468378846,9.78157813639788
20,105.910899364459,81.826831197866
21,43.0500421687715,167.052352360926
22,8.4895868290579,167.092275526956
23,10.7210621111214,167.999020050833
