"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,61.9784908926745,68.5297988712453
2,3.46410161513775,37.72267222772
3,0,199.952494358035
4,0,50.8068236886871
5,0.577350269189626,59.7578446733147
6,0,317.934479623292
7,0,214.115233772222
8,0,103.522944316707
9,0,10.9696551146029
10,1.15470053837925,169.637849550152
11,0,2.51661147842358
12,18.475208614068,121.327380806368
13,170.48558101298,109.418158151805
14,114.526561693492,199.6096190067
15,213.179110921622,127.028868110101
16,120.176259441428,119.558911559671
17,106.500391235588,20.4287379280594
18,72.9177618965366,16.1658075373095
19,111.383721132549,25.1064400768674
20,22.4796204001165,112.654338576018
21,3.51188458428425,3.46410161513775
22,0,0
23,0.577350269189626,0
