"phase","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,114,406
2,4,42
3,0,326
4,0,0
5,0,1
6,0,460
7,0,264
8,0,101
9,0,5
10,2,124
11,0,2
12,0,29
13,256,67
14,142,317
15,368,855
16,362,1135
17,819,1039
18,797,1004
19,914,755
20,355,325
21,5,0
22,0,0
23,0,0
