"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.333333333333333,0.366666666666667,0.333333333333333
2,1.46666666666667,0.333333333333333,0.9
3,0.333333333333333,NA,0.366666666666667
4,0.333333333333333,NA,NA
5,NA,NA,0.4
6,NA,NA,0.533333333333333
7,NA,NA,1.13333333333333
8,NA,NA,0.333333333333333
9,NA,NA,NA
10,NA,2.06666666666667,0.333333333333333
11,NA,NA,0.366666666666667
12,NA,NA,0.366666666666667
13,0.7,0.333333333333333,0.333333333333333
14,0.5,0.433333333333333,0.533333333333333
15,0.333333333333333,0.333333333333333,0.366666666666667
16,0.333333333333333,0.333333333333333,0.366666666666667
17,0.333333333333333,0.333333333333333,0.333333333333333
18,0.333333333333333,0.333333333333333,0.333333333333333
19,0.4,0.333333333333333,0.333333333333333
20,0.333333333333333,0.333333333333333,0.666666666666667
21,0.5,2.36666666666667,NA
22,NA,NA,NA
23,NA,NA,NA
