"phase","TC_Grp_3_f_18","TC_Grp_3_f_19","TC_Grp_3_f_20"
1,0.797303588359944,0.265903416884004,0.812356801595068
2,0.24584170723618,0.0336914315634741,0.158903806634971
3,0.166996163056639,0.00481814616149274,0.473955366437268
4,0.104009818219624,0.000149017647807303,0.0762372152066048
5,0.0226370782980792,0.00259636508913375,0.0895926726376411
6,0.00509506498729699,0.00750829206130318,0.510711578932679
7,0.0010672542182409,0.00304250107213277,0.376195181553747
8,0.00859476492113255,0.000937658079381657,0.271628176687583
9,0.00452188823830193,0.00164701593464723,0.0252760960880036
10,0.0670857192721474,0.0231727132247073,0.303473480877439
11,0.0153634716593432,0.00393617388992722,0.0307556648923601
12,0.00510474999583215,0.0400018255793352,0.180726049649379
13,0.303524610036346,0.469701339869006,0.19731724031506
14,0.25761328031641,0.369353299205393,0.749861733887941
15,0.676927768341357,0.566449647842672,0.954656985173785
16,1.21225742308486,0.860020072491604,1.29395058523748
17,1.11673514348125,1.24626465647342,1.4682501866095
18,1.42328035330857,1.48674492173044,1.71402822943347
19,1.4748584692567,1.1426544140373,1.32620576156126
20,0.678526037285959,0.61125349185013,0.536757282727984
21,0.0628979138196941,0.0179214312622816,0.0110698037884879
22,0.00100227634320627,0.00104337337765143,0.000857673555413076
23,0.00163913957759666,0.00272325253229972,0.000763463546683034
