"video","phase","seconds_moving","speed_mean","speed_median","speed_min","speed_max","speed_var","speed_sd","speed_ci_mean","speed_ci_lower","speed_ci_upper","speed_ci_stderror","num_bouts","mean_bout_time","min_bout_time","max_bout_time","mean_bout_speed","min_bout_speed","max_bout_speed","border_total","border_bottom","border_left","border_right","border_top"
"TCD_1_1_f_1",1,7.16666666666667,0.175708074730058,0,0,2.70455997769348,0.0822331536352678,0.286763236198903,0.175708074730058,0.16242943430736,0.188986715152756,0.00677036766213836,4,0.554545454545455,0.5,0.633333333333333,0.863084665184294,0.586701434159061,1.65944225050298,55.3,48.6,3.23333333333333,NA,3.46666666666667
"TCD_1_1_f_1",2,0.1,0.0479557298577091,0,0,0.82972112525149,0.0129497654362072,0.113797036148606,0.0479557298577091,0.0426965949580994,0.0532148647573187,0.00268147711332328,0,0,0,0,0,0,0,60.0333333333333,60.0333333333333,NA,NA,NA
"TCD_1_1_f_1",3,0.2,0.0585696366950871,0,0,2.05345501955671,0.0211547317364215,0.145446662857631,0.0585696366950871,0.0518459435127437,0.0652933298774306,0.00342821072025283,0,0,0,0,0,0,0,60,60,NA,NA,NA
"TCD_1_1_f_1",4,0,0.0458184706036067,0,0,0.414860562625745,0.0116280625649593,0.1078334946339,0.0458184706036067,0.0408335550445064,0.0508033861627071,0.00254165984315581,0,0,0,0,0,0,0,60,60,NA,NA,NA
"TCD_1_1_f_1",5,0.466666666666667,0.0451987788122434,0,0,1.46675358539765,0.014927823399619,0.122179472087659,0.0451987788122434,0.0395522492766853,0.0508453083478014,0.00287899816382857,0,0,0,0,0,0,0,60.0333333333333,60.0333333333333,NA,NA,NA
"TCD_1_1_f_1",6,0.2,0.0438859633714899,0,0,1.65944225050298,0.0140019100519234,0.118329666829259,0.0438859633714899,0.0384158318573167,0.049356094885663,0.0027890569943504,0,0,0,0,0,0,0,60,60,NA,NA,NA
"TCD_1_1_f_1",7,0.0333333333333333,0.0356071188680311,0,0,0.586701434159061,0.00944640335404837,0.0971926095649683,0.0356071188680311,0.0311141090356514,0.0401001287004107,0.00229085177682018,0,0,0,0,0,0,0,60,60,NA,NA,NA
"TCD_1_1_f_1",8,0.0333333333333333,0.0278923661522259,0,0,1.46675358539765,0.00844855377467911,0.0919160147889317,0.0278923661522259,0.0236444635919321,0.0321402687125197,0.00216587969551809,0,0,0,0,0,0,0,60.0333333333333,60.0333333333333,NA,NA,NA
"TCD_1_1_f_1",9,0.166666666666667,0.0146105413200575,0,0,0.655952144638139,0.00461771912869488,0.0679538014293157,0.0146105413200575,0.0114691800649573,0.0177519025751578,0.00160168645993571,0,0,0,0,0,0,0,60,60,NA,NA,NA
"TCD_1_1_f_1",10,5.6,0.137306995761025,0,0,2.23409250172018,0.127333592097516,0.356838327674475,0.137306995761025,0.120815697163929,0.153798294358121,0.00840842469364597,4,1.36423357664234,0.566666666666667,1.83333333333333,1.20712293001895,0.586701434159061,2.23409250172018,41.2666666666667,40.3333333333333,NA,NA,0.933333333333333
