"video","phase","encounters_num","encounters_mean_length","encounters_median_length","encounters_min_length","encounters_max_length","encounters_var_length","encounters_sd_length","encounters_ci_mean_length","encounters_ci_lower_length","encounters_ci_upper_length","encounters_ci_stderror_length","dist_mean","dist_median","dist_min","dist_max","dist_var","dist_sd","dist_ci_mean","dist_ci_lower","dist_ci_upper","dist_ci_stderror","shortest_dist_mean","shortest_dist_median","shortest_dist_min","shortest_dist_max","shortest_dist_var","shortest_dist_sd","shortest_dist_ci_mean","shortest_dist_ci_lower","shortest_dist_ci_upper","shortest_dist_ci_stderror","longest_dist_mean","longest_dist_median","longest_dist_min","longest_dist_max","longest_dist_var","longest_dist_sd","longest_dist_ci_mean","longest_dist_ci_lower","longest_dist_ci_upper","longest_dist_ci_stderror","speed_mean","speed_median","speed_min","speed_max","speed_var","speed_sd","speed_ci_mean","speed_ci_lower","speed_ci_upper","speed_ci_stderror","seconds_moving_mean","seconds_moving_median","seconds_moving_min","seconds_moving_max","seconds_moving_var","seconds_moving_sd","seconds_moving_ci_mean","seconds_moving_ci_lower","seconds_moving_ci_upper","seconds_moving_ci_stderror","mean_num_bouts","mean_mean_bout_time","mean_min_bout_time","mean_max_bout_time","border_total_mean","border_bottom_mean","border_left_mean","border_right_mean","border_top_mean","border_total_median","border_bottom_median","border_left_median","border_right_median","border_top_median","border_total_min","border_bottom_min","border_left_min","border_right_min","border_top_min","border_total_max","border_bottom_max","border_left_max","border_right_max","border_top_max","border_total_var","border_bottom_var","border_left_var","border_right_var","border_top_var","border_total_sd","border_bottom_sd","border_left_sd","border_right_sd","border_top_sd","border_total_ci_mean","border_bottom_ci_mean","border_left_ci_mean","border_right_ci_mean","border_top_ci_mean","border_total_ci_lower","border_bottom_ci_lower","border_left_ci_lower","border_right_ci_lower","border_top_ci_lower","border_total_ci_upper","border_bottom_ci_upper","border_left_ci_upper","border_right_ci_upper","border_top_ci_upper","border_total_ci_stderror","border_bottom_ci_stderror","border_left_ci_stderror","border_right_ci_stderror","border_top_ci_stderror"
"TCD_1_3_f_18",10,4,6.04166666666667,3.63333333333333,0.5,16.4,53.2936111111111,7.30024733218753,6.04166666666667,-5.57465590832205,17.6579892416554,3.65012366609376,0.855603217086932,0.89261995264744,0.260368845287373,1.78218440814932,0.117879449793463,0.343335768298998,0.855603217086932,0.84644634863242,0.864760085541443,0.00467091072039343,0.299055831110152,0.299055831110152,0.260368845287373,0.337742816932931,0.0029933657441038,0.0547116600379096,0.299055831110152,-0.192508931379565,0.790620593599869,0.0386869858227789,1.48185390421781,1.48185390421781,1.1815234002863,1.78218440814932,0.180396823183508,0.424731471854286,1.48185390421781,-2.33420696725446,5.29791477569008,0.300330503931509,0.0704854237817715,0,0,1.87836108660025,0.0305073182212917,0.174663442715674,0.0704854237817715,0.0658270971044104,0.0751437504591325,0.00237620843025879,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0.00111111111111111,0.0333333333333333,0.0333333333333333,-0.0494712570583443,0.116137923725011,0.0192450089729875,0,NA,NA,NA,26.8666666666667,23.5833333333333,NA,0.566666666666667,3,26.8666666666667,23.5833333333333,NA,0.566666666666667,3,4.9,2.33333333333333,NA,0.566666666666667,2,48.8333333333333,44.8333333333333,NA,0.566666666666667,4,965.068888888889,903.125,NA,NA,2,31.065557920129,30.0520382004283,NA,NA,1.4142135623731,26.8666666666667,23.5833333333333,NA,0.566666666666667,3,-252.246297371304,-246.423517310379,NA,NA,-9.70620473617469,305.979630704637,293.590183977046,NA,NA,15.7062047361747,21.9666666666667,21.25,NA,NA,1
"TCD_1_3_f_18",11,1,1.1,1.1,1.1,1.1,NA,NA,1.1,NA,NA,NA,1.24952854223474,0.941265297348804,0.258895742403006,2.45740448017864,0.501877508311565,0.708433136090884,1.24952854223474,1.23062040719155,1.26843667727793,0.00964502021181377,0.410989853904658,0.410989853904658,0.258895742403006,0.563083965406309,0.0462652375069535,0.215093555242721,0.410989853904658,-1.52154906600191,2.34352877381122,0.152094111501651,2.36418173876375,2.36418173876375,2.27095899734885,2.45740448017864,0.0173809590338162,0.131836865230543,2.36418173876375,1.17967450027864,3.54868897724886,0.0932227414148936,0.0526439010525194,0,0,1.76010430247718,0.0347325656155403,0.186366750295057,0.0526439010525194,0.0476720625234922,0.0576157395815467,0.00253613024024215,0.177777777777778,0.0333333333333333,0,0.5,0.0781481481481481,0.279549902786869,0.177777777777778,-0.516662678051223,0.872218233606779,0.161398211625933,0,NA,NA,NA,33.1833333333333,32.2833333333333,NA,1.13333333333333,0.666666666666667,33.1833333333333,32.2833333333333,NA,1.13333333333333,0.666666666666667,6.36666666666667,4.56666666666667,NA,1.13333333333333,0.666666666666667,60,60,NA,1.13333333333333,0.666666666666667,1438.26722222222,1536.42722222222,NA,NA,NA,37.9244936976385,39.1972859037743,NA,NA,NA,33.1833333333333,32.2833333333333,NA,1.13333333333333,0.666666666666667,-307.554723675085,-319.890307937642,NA,NA,NA,373.921390341751,384.456974604309,NA,NA,NA,26.8166666666667,27.7166666666667,NA,NA,NA
"TCD_1_3_f_18",12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80123548223216,2.22233471604838,0.569500121716859,2.53672524858009,0.622997576356315,0.789301955120039,1.80123548223216,1.78017871183031,1.82229225263401,0.010741039127918,1.49407828648812,1.49407828648812,0.569500121716859,2.41865645125938,1.70968956554359,1.30755098009354,1.49407828648812,-10.2538011696922,13.2419577426684,0.924578164771262,2.41356857371763,2.41356857371763,2.29041189885517,2.53672524858009,0.0303351331263541,0.174169839887261,2.41356857371763,0.848714648288746,3.97842249914651,0.123156674862458,0.0283498032958429,0,0,1.46675358539765,0.00949273166160798,0.0974306505244011,0.0283498032958429,0.025750576441168,0.0309490301505178,0.001325863217179,0.0111111111111111,0,0,0.0333333333333333,0.00037037037037037,0.0192450089729875,0.0111111111111111,-0.0366961414416607,0.0589183636638829,0.0111111111111111,0,NA,NA,NA,60,60,NA,NA,NA,60,60,NA,NA,NA,60,60,NA,NA,NA,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCD_1_3_f_18",13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90458187468916,2.07414147219087,0.86564698915204,4.89015635595176,0.750560312653838,0.866348840048764,1.90458187468916,1.88146966966486,1.92769407971347,0.0117895144298419,1.46054000464976,1.46054000464976,0.86564698915204,2.05543302014748,0.707795399775944,0.841305770677905,1.46054000464976,-6.09829244638463,9.01937245568415,0.594893015497721,4.8081907302202,4.8081907302202,4.72622510448864,4.89015635595176,0.0134367276031308,0.115916899557963,4.8081907302202,3.76671870834639,5.84966275209401,0.0819656257315553,0.0709528749652905,0,0,3.67567394965042,0.0660686213834088,0.257038171062994,0.0709528749652905,0.0640956846118692,0.0778100653187117,0.00349784646401439,0.644444444444444,0.1,0,1.83333333333333,1.06259259259259,1.03082131943058,0.644444444444444,-1.91625766922928,3.20514655811817,0.595144966259648,0,NA,NA,NA,31.55,31.55,NA,NA,NA,31.55,31.55,NA,NA,NA,3.1,3.1,NA,NA,NA,60,60,NA,NA,NA,1618.805,1618.805,NA,NA,NA,40.2343758495145,40.2343758495145,NA,NA,NA,31.55,31.55,NA,NA,NA,-329.94152474417,-329.94152474417,NA,NA,NA,393.04152474417,393.04152474417,NA,NA,NA,28.45,28.45,NA,NA,NA
"TCD_1_3_f_18",14,2,0.383333333333333,0.383333333333333,0.366666666666667,0.4,0.000555555555555557,0.0235702260395516,0.383333333333333,0.171563254397088,0.595103412269578,0.0166666666666667,1.89333978706313,2.07303479606369,0.269038132181179,6.55901124153794,1.1349026151722,1.06531808168837,1.89333978706313,1.86492743263655,1.92175214148971,0.0144931175479913,0.325447594673705,0.325447594673705,0.269038132181179,0.381857057166231,0.00636405491739148,0.0797750269031072,0.325447594673705,-0.391302584813902,1.04219777416131,0.0564094624925264,5.50093662505516,5.50093662505516,4.44286200857239,6.55901124153794,2.23904378809034,1.49634347263265,5.50093662505516,-7.94317607812448,18.9450493282348,1.05807461648277,0.182418857555393,0,0,3.22685788787484,0.181614856201926,0.426162945599363,0.182418857555393,0.171052963310311,0.193784751800476,0.00579773287559439,2.71111111111111,0.533333333333333,0.433333333333333,7.16666666666667,14.8914814814815,3.85894823513888,2.71111111111111,-6.87504772748976,12.297269949712,2.22796480234626,1.33333333333333,0.931746031746032,0.566666666666667,1.13333333333333,50.2444444444444,41.1222222222222,0.733333333333333,10.2666666666667,16.3666666666667,48.2666666666667,43.8666666666667,0.733333333333333,10.2666666666667,16.3666666666667,44.6,31.2333333333333,0.733333333333333,10.2666666666667,16.3666666666667,57.8666666666667,48.2666666666667,0.733333333333333,10.2666666666667,16.3666666666667,46.9348148148148,78.1825925925926,NA,NA,NA,6.85089883262151,8.84209209365027,NA,NA,NA,50.2444444444444,41.1222222222222,0.733333333333333,10.2666666666667,16.3666666666667,33.225868294943,19.1572478016162,NA,NA,NA,67.2630205939459,63.0871966428283,NA,NA,NA,3.95536828520492,5.10498425046845,NA,NA,NA
"TCD_1_3_f_18",15,2,0.6,0.6,0.6,0.6,0,0,0.6,0.6,0.6,0,2.43678391387017,2.38593920311333,0.244458930899609,6.6405413625781,1.69849002160645,1.30326130212113,2.43678391387017,2.40188959158499,2.47167823615534,0.017799532518642,0.28766875145719,0.28766875145719,0.244458930899609,0.330878572014771,0.00373417718523672,0.061107914260239,0.28766875145719,-0.261364075160806,0.836701578075186,0.0432098205575811,5.7525129684549,5.7525129684549,4.86448457433171,6.6405413625781,1.57718885753805,1.25586179874143,5.7525129684549,-5.53095761881087,17.0359835557207,0.888028394123197,0.427227017723118,0,0,4.14860562625745,0.451355081636088,0.671829652245335,0.427227017723118,0.409280850513232,0.445173184933005,0.00915431797692992,8.06666666666667,6.1,3.63333333333333,14.4666666666667,32.2411111111111,5.67812566883748,8.06666666666667,-6.03857943935009,22.1719127726834,3.27826738339584,3.66666666666667,0.685340314136126,0.566666666666667,0.744444444444444,26.1,18.7111111111111,0.388888888888889,0.911111111111111,9.13333333333333,24.4666666666667,19.1666666666667,0.233333333333333,0.866666666666667,9.13333333333333,19.6,5.33333333333333,0.2,0.2,1,34.2333333333333,31.6333333333333,0.733333333333333,1.66666666666667,17.2666666666667,55.5344444444444,173.078148148148,0.0892592592592592,0.539259259259259,132.302222222222,7.45214361405122,13.1559168493932,0.29876288132775,0.734342739638147,11.5022703073012,26.1,18.7111111111111,0.388888888888889,0.911111111111111,9.13333333333333,7.58784901495596,-13.9699980671181,-0.353279251488563,-0.913097381774064,-94.2104651875541,44.612150985044,51.3922202893404,1.13105702926634,2.73531960399629,112.477131854221,4.30249712161222,7.5955721344335,0.172490829958445,0.423972978407531,8.13333333333333
"TCD_1_3_f_18",16,4,0.5,0.483333333333333,0.433333333333333,0.6,0.00518518518518518,0.0720082299823095,0.5,0.38541883727139,0.61458116272861,0.0360041149911548,2.47609512396158,2.0512770156304,0.246794578829021,6.91767462081853,2.59329247539556,1.61037029139126,2.47609512396158,2.43251613795294,2.51967410997021,0.0222294561029915,0.255495621416854,0.255495621416854,0.246794578829021,0.264196664004686,0.000151416284230549,0.0123051324344986,0.255495621416854,0.144938392877679,0.366052849956028,0.00870104258783247,6.72660132199069,6.72660132199069,6.53552802316284,6.91767462081853,0.0730180110499119,0.270218450609709,6.72660132199069,4.29878486746777,9.15441777651361,0.191073298827848,1.20524905171668,1.17340286831812,0,4.36097192717948,1.11722275371582,1.05698758446626,1.20524905171668,1.17674306470702,1.23375503872634,0.014540806045259,25.7222222222222,22.6666666666667,22.3333333333333,32.1666666666667,31.1759259259259,5.58354062633433,25.7222222222222,11.8519383872551,39.5925060571894,3.22365868364533,12.6666666666667,0.890291759921808,0.511111111111111,1.33333333333333,29.3,19.7,2.08888888888889,2.51111111111111,5,28.6,20.4333333333333,1.56666666666667,1.53333333333333,5.36666666666667,24.1333333333333,16.7666666666667,1.2,0.133333333333333,2.33333333333333,35.1666666666667,21.9,3.5,5.86666666666667,7.3,30.8011111111111,6.99111111111111,1.52703703703704,8.93481481481481,6.26777777777778,5.54987487346437,2.64407093534026,1.23573340046995,2.98911605910758,2.50355303075005,29.3,19.7,2.08888888888889,2.51111111111111,5,15.5133465313316,13.1317636769783,-0.980843052887998,-4.91426481611655,-1.21917049705304,43.0866534686684,26.2682363230217,5.15862083066578,9.93648703833877,11.219170497053,3.20422175216339,1.52655506627516,0.71345101140794,1.72576696136479,1.44542701623405
"TCD_1_3_f_18",17,3,0.611111111111111,0.7,0.333333333333333,0.8,0.0603703703703704,0.245703826527733,0.611111111111111,0.000748969712208059,1.22147325251001,0.141857170386708,2.28268202731707,2.00370444150311,0.244458930899609,7.15525903773426,1.70172346801257,1.304501233427,2.28268202731707,2.24698338333037,2.31838067130378,0.0182096320430997,0.24840437973172,0.24840437973172,0.244458930899609,0.252349828563832,3.11331329736208e-05,0.00557970724802124,0.24840437973172,0.19827269909481,0.298536060368631,0.00394544883211155,6.64601273629297,6.64601273629297,6.13676643485168,7.15525903773426,0.518663591063266,0.720183026086609,6.64601273629297,0.175424969040209,13.1166005035457,0.50924630144129,1.35095232525827,1.24458168787723,0,4.36097192717948,1.37509372170648,1.17264390234482,1.35095232525827,1.31925810766593,1.3826465428506,0.0161670953130821,27.7666666666667,24.1333333333333,22.3,36.8666666666667,62.9477777777778,7.93396356040143,27.7666666666667,8.05760858262055,47.4757247507128,4.58067599733845,14.6666666666667,0.913473295684297,0.533333333333333,1.71111111111111,29.9111111111111,21.3666666666667,1.16666666666667,3.25555555555556,4.51111111111111,31.6,22.8666666666667,1.16666666666667,3.3,5.96666666666667,24.5,16.2333333333333,0.833333333333333,1.6,0.9,33.6333333333333,25,1.5,4.86666666666667,6.66666666666667,22.9937037037037,20.9011111111111,0.222222222222222,2.66925925925926,9.90259259259259,4.79517504411504,4.57177330049414,0.471404520791032,1.63378678512811,3.1468385075489,29.9111111111111,21.3666666666667,1.16666666666667,3.25555555555556,4.51111111111111,17.9992359495809,10.0097522013359,-3.06873491205823,-0.802995810340526,-3.30606909827924,41.8229862726413,32.7235811319974,5.40206824539156,7.31410692145164,12.3282913205015,2.7684956025312,2.63951454571424,0.333333333333333,0.94326724019217,1.81682805942964
