2,0,4.1667,4.8,123.82,50.667,2,2.2,352.84,3212.9,1,0,0,0,4.4,53.549,4.7333,NaN,1
0,2,5.2,NaN,NaN,NaN,3,1.5556,317.25,3059.7,1,NaN,NaN,2.9,1.7667,50.966,NaN,NaN,1
1,0,1.9333,4.2667,232.17,55.7,0,NaN,NaN,1592.8,1,0,0,0,0,26.562,4.2,NaN,NaN
0,2,4.2,NaN,NaN,NaN,0,NaN,NaN,949.57,1,NaN,NaN,0,0,15.809,NaN,NaN,NaN
2,0,2.4,6.1667,1084.6,47.133,2,3.2833,1148.7,5772.9,0,1,0,0,6.5667,96.215,4.8,1.2667,1
0,2,0.1,NaN,NaN,NaN,3,1.1,164.96,2137.6,1,NaN,NaN,1.1,2.2,35.606,NaN,NaN,1
1,0,1.4667,4.6667,505.64,55.3,0,NaN,NaN,2601.2,1,0,0,0,0,43.377,4.6,NaN,NaN
0,2,1.7,NaN,NaN,NaN,0,NaN,NaN,1196.9,1,NaN,NaN,0,0,19.926,NaN,NaN,NaN
1,0,0.56667,6.4667,887.07,53.533,0,NaN,NaN,2075.4,1,0,0,0,0,34.589,6.4,NaN,NaN
0,2,3.5667,NaN,NaN,NaN,0,NaN,NaN,954.27,1,NaN,NaN,0,0,15.896,NaN,NaN,NaN
2,0,2.2667,7.8333,931.09,52.167,0,NaN,NaN,1542.7,0,1,0,0,0,25.712,7.7,0,NaN
0,2,2.4667,NaN,NaN,NaN,6,2.9389,608.79,7169.5,1,NaN,NaN,11.7,5.9333,119.43,NaN,NaN,1
2,0,0.93333,6.8,1078.2,51.533,1,1.6,344.98,3106.2,0,0,0,0,1.6,51.771,5.6,1,1
0,2,4.2333,NaN,NaN,NaN,4,1.9167,247.07,3426.6,1,NaN,NaN,5.5,2.1667,57.078,NaN,NaN,1
2,0,2.1333,6.6,606.65,50.5,2,1.3833,221.92,3191.3,1,0,0,0,2.7667,53.188,6.5333,NaN,1
0,2,6.6,NaN,NaN,NaN,3,2.7667,477.12,3867.5,1,NaN,NaN,4.7667,3.5333,64.422,NaN,NaN,1
1,0,1.0667,1.3,26.693,58.6,1,0.1,12.559,1505.5,1,0,0,0,0.1,25.064,1.2333,NaN,1
