0,1.5,2.5564,0.033333,0,54.573,7.1,4.036,532.89,5867.6,0.61538,NaN,NaN,25.587,0,97.793,NaN,NaN,1.7
1.3,0.3,0.88718,7.037,613.35,46.389,2.5833,3.708,807.72,5338.5,0.53846,NaN,0,0,7.4111,89.088,5.6074,6.0333,1.5556
0,1.9,3.4897,NaN,NaN,NaN,3.0769,6.3729,451.18,3506.5,1,NaN,NaN,3.8282,6.9615,58.415,NaN,NaN,1.4545
1.5,0.3,1.4718,6.8704,616.84,49.496,1.2308,4.4026,1040.4,3816.7,0.46154,0.30769,0,0,4.9692,63.61,5.5815,3.6,1.4286
0,2,3.0179,NaN,NaN,NaN,2.3077,2.1426,355.86,2778.7,1,NaN,NaN,2.7,2.8128,46.3,NaN,NaN,1.6667
1.6,0.1,1.3641,5.9615,767.11,51.913,1.9231,1.1553,222.33,3680.9,0.76923,0,0,0,1.9179,61.414,4.3692,6.3889,1.8889
0,2,3.2769,NaN,NaN,NaN,3.7692,2.1208,362.17,3887.3,1,NaN,NaN,5.3744,3.1333,64.808,NaN,NaN,1.3
1.55,0.1,1.1846,6.3821,960.31,51.613,1.2308,2.1222,420.36,3376.9,0.38462,0.46154,0,0,1.8462,56.311,4.7692,2.4208,1.6667
0,2,2.959,NaN,NaN,NaN,3.7692,2.2616,422.16,4085.1,1,NaN,NaN,4.1821,3.7769,68.089,NaN,NaN,1.6
1.55,0.2,1.1128,3.8212,405.63,53.685,1.75,2.1742,510.51,3119.7,0.69231,0.15385,0,0,3.2722,52.017,3.0758,3.6667,1.5714
0,2,2.1256,NaN,NaN,NaN,4.0769,2.2742,333.47,3778.2,1,NaN,NaN,5.2641,3.759,62.984,NaN,NaN,1.5385
1.45,0.25,1.4487,5.0933,626.52,54.24,1.3333,1.5583,361.08,2435.3,0.53846,0.23077,0,0,1.5972,40.611,4.56,1.4444,1.75
0,1.9,3.0436,0.033333,0,53.933,2.3846,2.0133,321.8,2515.4,0.92308,NaN,NaN,2.0154,3.6333,41.94,NaN,NaN,1.2222
1.55,0.2,1.1949,4.3667,506.39,54.373,1.0833,1.4344,266.27,2221.3,0.53846,0.15385,0,0,1.4944,37.044,3.7033,1.8778,1.4
0,1.9,2.6077,0.033333,0,48.6,5.1538,2.7238,424.56,4445,0.92308,NaN,NaN,5.9103,7.2718,74.11,NaN,NaN,1.6364
1.25,0.3,0.88462,4.5033,631.22,53.377,1,1.4378,286.52,3225.6,0.61538,0.38462,0,0,1.8744,53.853,4.0633,1.7667,2
0,1.9,1.9846,0.033333,0,47.633,3.2308,4.4627,376.37,3160.2,0.92308,NaN,NaN,2.8128,5.859,52.704,NaN,NaN,1.7273
1.6,0.25,1.3436,4.7148,549.96,54.059,1.1538,1.5821,414.27,2814.6,0.53846,0.15385,0,0,1.7256,46.93,4.3815,1.0667,1.375
0,2,2.1769,NaN,NaN,NaN,4.0769,2.2925,359.93,4329.6,1,NaN,NaN,7.0179,4.2051,72.187,NaN,NaN,1.7273
1.35,0.35,0.84103,5.25,846.19,53.279,0.5,7.6417,1273.1,3112.2,0.23077,0.53846,0,0,4.6944,51.887,3.9583,1.8667,1.5
0,1.9,3.5889,0.033333,0,59.967,2.3333,1.8313,278.12,2303.9,0.92308,NaN,NaN,2.1,2.225,38.398,NaN,NaN,1.5
1.4,0.2,1.4795,5.51,669.97,54.22,0.92308,1.1878,239.32,2432.6,0.53846,0.30769,0,0,1.3615,40.558,4.69,2.4,1.8
0,2,2.8385,NaN,NaN,NaN,3.2308,1.8668,294.77,3054.6,1,NaN,NaN,3.4436,2.8641,50.916,NaN,NaN,1.0909
1.55,0.4,1.2718,5.2963,725.48,53.57,1,1.1844,262.35,2639.6,0.46154,0.38462,0,0,1.2821,44.017,4.6852,1.5222,1.4
0,2,2.359,NaN,NaN,NaN,3.7692,7.3015,385.49,3672.5,1,NaN,NaN,8.7897,5.7872,61.274,NaN,NaN,1.7273
