frame_idx,led_1_status,led_2_status,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y
57,0,0,272,198,354,201,348,217,250,88,264,214,768,196
58,0,0,271,201,354,201,348,216,248,82,263,218,769,197
59,0,0,270,203,354,201,348,216,248,76,262,219,770,198
60,0,0,269,205,354,201,348,216,248,70,261,221,772,200
61,0,0,268,207,354,201,349,217,247,65,260,223,772,200
62,0,0,266,210,355,203,357,219,246,61,258,226,772,199
63,0,0,266,210,355,203,357,219,246,61,258,226,772,199
64,0,0,266,210,355,203,357,219,246,61,258,226,772,199
65,0,0,266,210,355,203,357,219,246,61,258,226,772,199
66,0,0,266,210,355,203,357,219,246,61,258,226,772,199
67,0,0,266,210,355,203,357,219,246,61,258,226,772,199
68,0,0,266,210,355,203,357,219,246,61,258,226,772,199
69,0,0,266,210,355,203,357,219,246,61,258,226,772,199
70,0,0,100,239,370,213,242,220,243,23,226,228,378,226
71,0,0,100,240,373,218,239,220,241,20,222,228,749,164
72,0,0,96,240,373,218,234,220,237,19,218,226,748,161
73,0,1,229,222,371,215,383,223,232,20,212,226,747,157
74,0,1,224,223,374,215,385,222,227,20,206,226,746,152
75,0,1,221,223,376,216,387,222,224,19,203,226,745,148
76,0,1,215,222,379,217,391,223,221,18,198,226,743,142
77,0,1,212,222,385,219,397,225,224,22,194,226,741,135
78,0,1,208,222,388,220,399,226,225,22,191,226,740,130
79,0,1,204,222,392,222,230,29,222,16,186,226,739,124
80,0,1,204,222,392,222,230,29,222,16,186,226,739,124
81,0,1,204,222,392,222,230,29,222,16,186,226,739,124
82,0,1,204,222,392,222,230,29,222,16,186,226,739,124
83,0,1,204,222,392,222,230,29,222,16,186,226,739,124
84,0,1,204,222,392,222,230,29,222,16,186,226,739,124
85,0,1,204,222,392,222,230,29,222,16,186,226,739,124
86,0,1,172,222,244,10,422,227,237,27,155,225,735,81
87,0,1,166,222,245,10,423,228,237,26,149,226,736,75
88,0,1,163,222,245,10,425,228,237,26,146,225,736,71
89,0,1,158,221,247,11,426,229,239,26,141,225,736,64
90,0,1,155,221,251,11,427,229,242,25,137,224,736,58
91,0,1,150,222,252,11,427,229,243,25,133,224,736,53
92,0,1,147,221,255,10,429,229,245,25,129,224,737,48
93,0,1,142,221,256,10,429,229,246,25,125,224,737,42
94,0,1,137,221,256,10,429,230,246,25,119,224,739,38
95,0,1,132,221,258,12,430,230,247,24,115,224,740,33
96,0,1,128,221,263,15,431,230,253,24,110,224,741,28
97,0,1,128,221,263,15,431,230,253,24,110,224,741,28
98,0,1,128,221,263,15,431,230,253,24,110,224,741,28
99,0,1,128,221,263,15,431,230,253,24,110,224,741,28
100,0,1,111,223,283,14,435,231,447,235,94,226,742,18
101,0,1,108,224,289,13,436,231,448,235,91,227,743,16
102,0,1,104,225,295,12,436,231,447,235,87,227,743,15
103,0,1,100,225,303,12,740,31,447,235,83,228,742,13
104,0,1,95,226,311,13,740,29,445,235,79,229,742,12
105,0,1,92,225,318,13,739,29,445,234,75,228,742,12
106,0,1,91,224,325,12,737,29,445,235,73,227,740,12
107,0,1,86,223,333,11,735,29,445,234,69,226,738,12
108,0,1,83,223,340,10,734,28,445,234,66,225,736,11
109,0,1,81,223,347,9,733,26,445,234,64,225,735,9
110,0,1,78,223,354,9,732,25,446,233,61,224,734,8
111,0,1,73,222,360,8,732,24,445,233,56,225,733,7
112,0,1,72,221,363,7,732,22,444,233,54,224,732,5
113,0,1,70,221,364,6,731,22,443,233,53,223,732,5
114,0,1,69,221,364,7,731,24,443,233,51,223,729,9
115,0,1,69,221,364,7,731,24,443,233,51,223,729,9
116,0,1,69,221,364,7,731,24,443,233,51,223,729,9
117,0,1,69,221,364,7,731,24,443,233,51,223,729,9
118,0,1,69,221,364,7,731,24,443,233,51,223,729,9
119,0,1,69,221,364,7,731,24,443,233,51,223,729,9
120,0,1,69,221,364,7,731,24,443,233,51,223,729,9
121,0,1,69,221,364,7,731,24,443,233,51,223,729,9
122,0,1,69,221,364,7,731,24,443,233,51,223,729,9
123,0,1,69,221,364,7,731,24,443,233,51,223,729,9
124,0,1,69,221,364,7,731,24,443,233,51,223,729,9
125,0,1,69,221,364,7,731,24,443,233,51,223,729,9
126,0,1,69,221,364,7,731,24,443,233,51,223,729,9
127,0,1,69,221,364,7,731,24,443,233,51,223,729,9
128,0,1,45,211,385,22,685,21,432,122,29,208,678,12
129,0,1,45,210,388,28,681,20,430,116,28,208,673,11
130,0,1,45,210,389,30,675,19,428,109,28,208,668,9
131,0,1,45,211,391,31,670,18,427,102,28,208,662,8
132,0,1,45,210,391,31,665,16,426,96,28,208,657,7
133,0,1,45,210,391,31,662,15,425,89,28,208,654,5
134,0,1,45,210,391,31,659,15,423,83,28,208,651,5
135,0,1,45,210,391,31,658,15,421,76,28,208,650,4
136,0,1,45,210,391,31,657,14,419,70,28,208,650,4
137,0,1,45,210,391,32,657,14,418,64,28,208,650,5
138,0,1,45,210,392,32,657,15,417,59,28,208,650,5
139,0,1,45,210,392,32,657,15,416,54,28,208,650,5
140,0,1,45,210,392,32,659,16,414,50,28,208,651,8
141,0,1,45,210,392,33,661,16,413,48,28,208,650,11
142,0,1,45,210,394,35,662,16,410,45,28,208,651,12
143,0,1,45,210,394,35,662,17,409,44,28,208,651,15
144,0,1,45,209,394,35,662,19,408,43,28,208,652,17
145,0,1,42,208,394,34,660,22,407,42,25,206,651,19
146,0,1,41,205,393,40,656,22,407,43,24,203,417,57
147,0,1,39,203,392,39,654,25,408,44,23,201,418,58
148,0,1,38,202,388,37,654,27,408,42,21,200,417,56
149,0,1,37,201,391,41,381,33,408,41,20,199,417,55
150,0,1,36,200,391,45,382,35,410,38,19,198,417,53
151,0,1,36,200,391,56,384,41,408,35,19,198,416,51
152,0,1,36,200,392,63,385,47,411,41,19,198,652,52
153,0,1,36,200,393,69,387,53,410,38,19,198,652,55
154,0,1,36,200,394,73,387,57,410,36,19,198,651,59
155,0,1,36,200,395,74,388,58,409,35,19,198,651,62
156,0,1,36,200,396,75,389,58,409,34,19,198,650,66
157,0,1,36,200,396,75,389,58,409,35,19,198,649,68
158,0,1,36,200,396,75,389,58,409,35,19,198,649,71
159,0,1,36,200,396,75,389,58,410,35,19,198,649,74
160,0,1,35,199,396,75,389,58,410,36,17,198,648,78
161,0,1,33,199,396,75,389,58,410,36,15,199,649,74
162,0,1,32,199,396,75,389,58,410,36,13,200,648,79
163,0,1,29,199,396,75,389,58,410,36,10,201,648,82
164,0,1,27,199,396,75,389,58,410,36,8,201,649,82
165,0,1,26,199,396,75,389,59,410,36,7,201,649,82
166,0,1,27,199,396,75,389,59,410,36,8,202,649,82
167,0,1,28,199,396,75,389,59,410,36,9,202,650,81
168,0,1,28,200,396,75,389,59,410,35,9,202,650,81
169,0,1,28,200,396,75,389,59,410,35,9,202,650,81
170,0,1,162,233,396,75,389,59,409,33,21,202,650,81
171,0,1,163,231,396,75,389,59,407,30,20,203,650,81
172,0,1,166,229,396,75,389,59,406,29,19,206,650,81
173,0,1,169,227,396,76,389,59,405,28,16,208,650,81
174,0,1,173,225,396,76,389,59,404,26,15,210,650,81
175,0,1,178,224,396,75,389,59,402,24,13,213,650,81
176,0,1,183,222,396,76,389,59,399,21,12,215,650,81
177,0,1,189,220,396,75,389,59,397,19,12,219,650,81
178,0,1,196,220,395,75,389,59,395,17,13,221,650,81
179,0,1,202,218,395,75,389,59,394,16,12,222,651,81
180,0,1,208,216,395,75,389,59,393,15,11,223,650,81
181,0,1,214,216,395,76,389,60,394,14,10,226,650,81
182,0,1,220,215,395,77,389,61,394,14,14,221,650,81
183,0,1,227,214,395,80,389,63,395,12,13,222,650,81
184,0,1,232,215,395,83,390,66,397,18,13,222,650,81
185,0,1,239,216,396,85,390,68,397,16,13,222,650,82
186,0,1,244,217,396,86,390,69,397,16,13,222,650,83
187,0,1,249,217,396,87,391,70,397,17,13,222,650,85
188,0,1,255,217,394,80,208,21,397,17,14,222,650,87
189,0,1,261,219,394,80,209,21,394,18,15,222,650,88
190,0,1,266,221,394,80,211,21,390,18,15,223,650,89
191,0,1,270,223,394,81,215,21,387,17,14,225,651,91
192,0,1,274,224,394,81,217,21,382,18,13,227,651,95
193,0,1,279,226,394,80,221,20,372,13,13,228,653,99
194,0,1,283,227,394,81,223,20,367,13,14,229,654,104
195,0,1,286,228,394,82,226,19,360,13,13,230,655,112
196,0,1,289,229,395,86,230,19,354,12,13,231,656,121
197,0,1,291,230,397,90,236,19,348,10,12,233,658,128
198,0,1,295,231,398,95,240,19,342,9,12,234,660,136
199,0,1,298,230,401,102,239,18,336,8,12,235,662,144
200,0,1,303,231,405,111,241,17,331,8,12,236,665,151
201,0,1,306,232,408,120,244,16,326,10,12,238,668,158
202,0,1,311,232,412,128,248,17,322,13,11,239,670,166
203,0,1,315,232,415,136,250,16,318,15,10,240,672,174
204,0,1,319,232,419,145,250,16,315,18,10,240,674,180
205,0,1,323,231,424,155,250,16,311,20,10,240,677,187
206,0,1,327,232,427,161,250,16,307,22,14,238,680,194
207,0,1,332,232,429,163,250,16,302,25,18,239,683,201
208,0,1,335,232,429,164,249,15,298,26,19,239,684,206
209,0,1,339,232,429,164,249,11,294,28,18,238,686,208
210,0,1,342,232,430,164,249,10,290,29,18,240,687,209
211,0,1,347,232,430,164,250,10,285,29,19,240,687,209
212,0,1,351,232,430,164,252,9,281,30,20,240,687,209
213,0,1,351,232,430,164,252,9,283,33,269,28,687,209
214,0,1,352,232,430,164,252,9,279,34,265,27,687,209
215,0,1,350,232,430,164,252,9,276,34,263,25,687,209
216,0,1,353,232,432,164,252,9,273,33,260,24,688,209
217,0,1,357,231,434,166,254,7,270,32,257,22,690,209
218,0,1,360,231,435,167,254,6,268,32,257,20,693,211
219,0,1,363,232,437,168,255,13,691,204,267,32,701,223
220,0,1,367,232,437,167,254,11,694,206,264,30,704,225
221,0,1,372,232,438,167,254,10,697,209,262,29,708,228
222,0,1,375,232,439,168,254,10,700,211,261,29,711,230
223,0,1,378,232,439,168,255,10,702,213,260,29,713,232
224,0,1,383,232,439,168,255,13,702,213,260,31,713,232
225,0,1,387,232,439,168,267,5,702,213,252,26,712,232
226,0,1,391,231,443,177,270,6,435,160,251,29,698,211
227,0,1,394,231,443,177,271,7,435,160,250,30,696,213
228,0,1,398,230,444,177,272,8,435,160,248,30,693,216
229,0,1,401,229,444,177,273,8,436,160,246,29,692,218
