"video","phase","seconds_moving","speed_mean","speed_median","speed_min","speed_max","speed_var","speed_sd","speed_ci_mean","speed_ci_lower","speed_ci_upper","speed_ci_stderror","num_bouts","mean_bout_time","min_bout_time","max_bout_time","mean_bout_speed","min_bout_speed","max_bout_speed","border_total","border_bottom","border_left","border_right","border_top"
"cs_tra2_1_1_f_1",1,38.6333333333333,1.72816245708859,1.49580103071496,0,8.07114396543536,2.29481787703742,1.51486563002711,1.72816245708859,1.65764129948124,1.79868361469595,0.0359562948868887,21,1.76153846153846,0.533333333333333,2.46666666666667,2.89359402318378,0.586701434159061,7.87142573565767,31.8,6.2,3.86666666666667,6.73333333333333,15
"cs_tra2_1_1_f_1",2,27.3666666666667,1.10695621855484,0.293350717079531,0,6.5922374670208,1.624651911316,1.27461833947108,1.10695621855484,1.04768606929472,1.16622636781496,0.0302198419652877,15,1.86338341680579,0.5,2.8,2.49284700567237,0.586701434159061,6.5922374670208,18.8666666666667,6.53333333333333,2.86666666666667,1.73333333333333,7.73333333333333
"cs_tra2_1_1_f_1",3,3.03333333333333,0.12813066400493,0,0,4.88232896981223,0.12594249034601,0.354883770192453,0.12813066400493,0.111702270173911,0.14455905783595,0.00837633256670079,1,0.833333333333333,0.833333333333333,0.833333333333333,1.67223345475033,0.586701434159061,3.02023048464417,0.666666666666667,NA,NA,NA,0.666666666666667
"cs_tra2_1_1_f_1",4,0.133333333333333,0.0251501944784137,0,0,0.880052151238592,0.00747371195983228,0.0864506330794187,0.0251501944784137,0.0211481939180627,0.0291521950387647,0.00204049695730618,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"cs_tra2_1_1_f_1",5,0.133333333333333,0.0526229619918265,0,0,1.46675358539765,0.0155632859629538,0.124752899617419,0.0526229619918265,0.0468462490572592,0.0583996749263939,0.00294536708583491,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"cs_tra2_1_1_f_1",6,4.16666666666667,0.113384036153803,0,0,3.53241040446971,0.125572624652886,0.354362278823362,0.113384036153803,0.0969797833692624,0.129788288938344,0.00836402378984196,3,1.1484126984127,0.6,1.56666666666667,1.41356162931845,0.586701434159061,3.53241040446971,0.533333333333333,NA,NA,NA,0.533333333333333
"cs_tra2_1_1_f_1",7,0.266666666666667,0.0453705937309249,0,0,1.05769105212438,0.0138746286083857,0.117790613413743,0.0453705937309249,0.0399162711286886,0.0508249163331612,0.00278099023616366,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"cs_tra2_1_1_f_1",8,0.166666666666667,0.0270833811184748,0,0,0.655952144638139,0.00837492985469685,0.091514642843082,0.0270833811184748,0.0228481369493944,0.0313186252875551,0.0021594215094323,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"cs_tra2_1_1_f_1",9,0.0666666666666667,0.0460204118353024,0,0,0.927656419214974,0.0123273697303306,0.111028688771554,0.0460204118353024,0.0408792017752426,0.0511616218953622,0.00262134384446394,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"cs_tra2_1_1_f_1",10,0.1,0.0542865837900819,0,0,0.655952144638139,0.0139840381806759,0.118254125427724,0.0542865837900819,0.0488123257150625,0.0597608418651014,0.00279115576750602,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"cs_tra2_1_1_f_1",11,0.0666666666666667,0.0362139265475852,0,0,0.880052151238592,0.0104399874984978,0.102176257019416,0.0362139265475852,0.031483950337109,0.0409439027580614,0.00241166934388455,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"cs_tra2_1_1_f_1",12,3.73333333333333,0.142232306505229,0,0,4.70276974827029,0.23413103009925,0.483870881640185,0.142232306505229,0.119826549290741,0.164638063719718,0.0114240019506362,3,1.34615384615385,0.533333333333333,1.66666666666667,1.90520385240385,0.586701434159061,4.70276974827029,NA,NA,NA,NA,NA
"cs_tra2_1_1_f_1",13,17.6666666666667,0.597544170564602,0,0,7.98000225414726,0.942690441075121,0.970922469137017,0.597544170564602,0.552560257237483,0.642528083891721,0.0229358874612616,12,1.76100217864924,0.6,3.26666666666667,2.01842756492936,0.586701434159061,7.98000225414726,0.433333333333333,0.433333333333333,NA,NA,NA
"cs_tra2_1_1_f_1",14,7.33333333333333,0.293235129963769,0,0,7.47900515357481,0.726821641188051,0.85253835174029,0.293235129963769,0.25352471814445,0.332945541783088,0.0202469475210168,4,1.59285714285714,0.533333333333333,2.26666666666667,2.68639746320548,0.586701434159061,6.61829384316208,NA,NA,NA,NA,NA
"cs_tra2_1_1_f_1",15,30.6666666666667,1.42627889620732,0.655952144638139,0,8.00691633478524,2.4516993337489,1.56579032240875,1.42627889620732,1.35305583480052,1.49950195761412,0.0373336700387338,19,1.38767745599091,0.5,2.86666666666667,2.96689356381159,0.586701434159061,7.09520727523014,11.8666666666667,8.76666666666667,1.43333333333333,0.766666666666667,0.9
"cs_tra2_1_1_f_1",16,44.1,2.16611016776603,2.65640372370394,0,8.4054067168872,2.07440939033212,1.44028101089062,2.16611016776603,2.09877562296217,2.23344471256989,0.034331351547126,25,2.16102173299464,0.6,4.13333333333333,2.92869266800618,0.586701434159061,8.4054067168872,18,10.6666666666667,5,0.333333333333333,2
"cs_tra2_1_1_f_1",17,33.7666666666667,1.65457392019562,1.57974195776436,0,8.28163936906375,2.5575642845045,1.59923865776954,1.65457392019562,1.57952990186279,1.72961793852846,0.0382619259423773,20,1.65002243158367,0.5,2.96666666666667,2.95599151479758,0.586701434159061,6.51344295308249,26.2,11.7666666666667,3.16666666666667,2.76666666666667,8.5
