"video" "phase" "mean_dist" "meadian_dist" "mean_shortest_dist" "median_shortest_dist" "mean_longest_dist" "median_longest_dist"
"TC_Grp_6_f_2" 1 235.371491217733 218.220072403984 93.7143999571397 54.5893762558247 415.602295819742 404.371279625513
"TC_Grp_6_f_2" 2 85.6751424486768 69.3541635375988 46.7053962165895 37.2915607408389 140.913971404411 112.660573837965
"TC_Grp_6_f_2" 3 56.6936603799635 50.4479930225178 31.8818624725595 31.8276609256791 84.9930991617593 86.2080391745437
"TC_Grp_6_f_2" 4 67.0965215106647 60.5392434706612 35.137327867335 34.3656805548792 97.2078187764073 98.3623654000437
"TC_Grp_6_f_2" 5 102.822366315682 79.227520471109 51.7543137459805 38.0788655293195 174.585982282397 146.613833110417
"TC_Grp_6_f_2" 6 188.474274640783 166.192659284338 80.3434287640267 49.9498084158336 344.611732993178 343.157844831065
"TC_Grp_6_f_2" 7 193.83957721402 179.306901970784 73.1146450672313 38.6264158316559 345.104470246219 374.573689221604
"TC_Grp_6_f_2" 8 180.015273231506 133.7235955245 83.427998220612 46.0108682813094 340.117708199925 361.197108654043
"TC_Grp_6_f_2" 9 178.895454862434 83.9523674472614 89.2549342925896 47.4722809958932 389.876737891752 388.410225612724
"TC_Grp_6_f_2" 10 179.661474947445 101.965680500843 98.1702605021762 57.7806999963846 375.238491992981 379.338507096792
"TC_Grp_6_f_2" 11 217.733507577015 198.116127561589 88.6576101848514 68.7729742834734 387.070441646408 386.541346207926
"TC_Grp_6_f_2" 12 196.31614548635 210.318805626126 61.8269935411227 44.407206622349 326.983275895132 321.608429061983
"TC_Grp_6_f_2" 13 228.52765422727 243.823706804732 85.9716244187401 73.6394762612786 394.468557863067 393.374084398104
"TC_Grp_6_f_2" 14 207.196007283622 199.904977426776 83.3526021704985 67.5351760196122 353.54596371143 371.793994657677
"TC_Grp_6_f_2" 15 166.998938453311 144.367586389743 67.6282574526721 47.8852795752515 290.485944044661 312.773342514882
"TC_Grp_6_f_2" 16 207.239278950102 184.32851108822 79.2692693878196 49.4974746830583 363.888720012045 385.836399019291
"TC_Grp_6_f_2" 17 231.998767709294 218.986289502549 90.0257902713763 72.5765357942034 403.472793823235 425.491970848937
"TC_Grp_6_f_2" 18 272.31052095023 271.532686798477 89.1713847185387 60.3802789878178 472.294855043732 484.709726557816
"TC_Grp_6_f_2" 19 279.928015306398 290.626048353379 83.3693696795969 68.831302149549 472.802143360832 504.678793516322
"TC_Grp_6_f_2" 20 204.357094346197 189.64440408301 88.9701819675649 71.4833291193819 345.829459952433 332.674667580518
"TC_Grp_6_f_2" 21 265.301725415763 290.394559177682 114.40527437703 102.85912696499 431.530737003015 445.542793756417
"TC_Grp_6_f_2" 22 290.580088550055 294.105423275396 134.56755101175 133.723932873223 472.654913127442 449.034089093927
"TC_Grp_6_f_2" 23 291.549658902185 294.105423275396 135.432776105276 135.66725214846 474.002803669415 450.519220086326
"TC_Grp_6_m_2" 1 332.865201646166 330.878371849523 109.799763479463 90.8377604299529 549.415220740589 577.662878596619
"TC_Grp_6_m_2" 2 322.014490101487 306.086588428422 126.916348081209 103.845291808597 543.362546525686 582.839463062427
"TC_Grp_6_m_2" 3 307.833142957977 283.191624296018 118.604848004143 102.434613980108 516.427877724881 550.11456430768
"TC_Grp_6_m_2" 4 344.654247967523 333.766385365573 125.575102809637 119.887447216129 566.105010297785 585.148910726814
"TC_Grp_6_m_2" 5 226.275834917838 173.441632833642 94.9623485880161 65.3681879816169 377.714555805562 376.169229330051
"TC_Grp_6_m_2" 6 158.136599314495 128.413394939936 83.8355878413302 66.343310450017 272.415703159305 199.76295123586
"TC_Grp_6_m_2" 7 251.757837053551 171.222077617229 113.46434270538 77.7516629353261 476.380146038276 528.142130857885
"TC_Grp_6_m_2" 8 303.349391543292 288.027776438315 109.664302077733 80.9506022213547 528.476968548349 584.992630020664
"TC_Grp_6_m_2" 9 371.085147958343 409.843872712525 107.219326238716 66.8505796534331 622.444344925872 679.744311624777
"TC_Grp_6_m_2" 10 365.031630307278 425.027057962196 86.0371938408715 83.6301381082203 610.047983761657 637.665364501156
"TC_Grp_6_m_2" 11 340.942038667302 433.243580448689 88.7988489804839 84.1724420460759 599.061891283601 635.346529053748
"TC_Grp_6_m_2" 12 317.398780457674 277.510360166967 117.577317178295 95.4960723206135 552.749919468726 589.998909530733
"TC_Grp_6_m_2" 13 293.381836623241 295.959456682837 104.005244699751 99.2210804398769 496.822624167134 495.739803841135
"TC_Grp_6_m_2" 14 298.211774733066 268.151076820512 111.597726888863 101.019800039398 498.006333409549 531.746271616482
"TC_Grp_6_m_2" 15 296.105848709679 277.385109558784 114.906382359154 97.1980688415722 504.937461994804 535.306313518736
"TC_Grp_6_m_2" 16 276.779753650861 260.516792889589 107.287132613418 95.9609108416851 469.135393441598 507.648099646055
"TC_Grp_6_m_2" 17 260.672940801645 250.976088714916 99.9357063242493 85.0685805405712 438.115602018968 458.014810806706
"TC_Grp_6_m_2" 18 238.346921705698 215.615398336946 93.5994973793728 71.5891053163818 424.644468984493 428.314215112509
"TC_Grp_6_m_2" 19 236.783563368382 239.676865800602 77.5257443182283 44.7100824174825 407.965651109644 437.986952737625
"TC_Grp_6_m_2" 20 255.922564773071 236.535409611331 102.288265009746 89.6134027144026 421.597053800131 426.368880847507
"TC_Grp_6_m_2" 21 201.757497350472 229.259678094514 104.474706068148 59.6970523639873 333.261871815681 333.152830848498
"TC_Grp_6_m_2" 22 190.703981132632 228.527897640529 98.8128143106333 52.4453839447451 328.136681746843 334.19606252084
